Gis_X;Gis_Y;Distrito;Barrio;Calle;Nº Finca;Color;Batería/Línea;Número de Plazas
439592,91;4473566,23;01  CENTRO;01-01 PALACIO;AGUAS, CALLE, DE LAS;2;Verde;Línea;8
439569,07;4473598,77;01  CENTRO;01-01 PALACIO;AGUAS, CALLE, DE LAS;8;Verde;Línea;5
439589,03;4473513,61;01  CENTRO;01-01 PALACIO;AGUILA, CALLE, DEL;1;Verde;Línea;2
439582,95;4473504,86;01  CENTRO;01-01 PALACIO;AGUILA, CALLE, DEL;4;Verde;Línea;2
439575,66;4473494,71;01  CENTRO;01-01 PALACIO;AGUILA, CALLE, DEL;5;Verde;Línea;3
439558,08;4473470,66;01  CENTRO;01-01 PALACIO;AGUILA, CALLE, DEL;12;Verde;Línea;8
439537,84;4473430,69;01  CENTRO;01-01 PALACIO;AGUILA, CALLE, DEL;15;Verde;Línea;4
439527,41;4473408,46;01  CENTRO;01-01 PALACIO;AGUILA, CALLE, DEL;19;Verde;Línea;4
439592,51;4473916,53;01  CENTRO;01-01 PALACIO;ALAMILLO, CALLE, DEL;1;Verde;Línea;2
439603,34;4473917,1;01  CENTRO;01-01 PALACIO;ALAMILLO, CALLE, DEL;2;Verde;Línea;3
439096,97;4473640,85;01  CENTRO;01-01 PALACIO;ALGECIRAS, CALLE, DE;1;Verde;Línea;4
439086,61;4473635,27;01  CENTRO;01-01 PALACIO;ALGECIRAS, CALLE, DE;1;Verde;Línea;1
439124,78;4473639,69;01  CENTRO;01-01 PALACIO;ALGECIRAS, CALLE, DE;4;Verde;Línea;13
439129,22;4473643,88;01  CENTRO;01-01 PALACIO;ALGECIRAS, CALLE, DE;5;Verde;Línea;6
439861,24;4473828,67;01  CENTRO;01-01 PALACIO;ALMENDRO, CALLE, DEL;1;Verde;Línea;2
439826,99;4473821,25;01  CENTRO;01-01 PALACIO;ALMENDRO, CALLE, DEL;3;Verde;Línea;3
439843,68;4473824,44;01  CENTRO;01-01 PALACIO;ALMENDRO, CALLE, DEL;4;Verde;Línea;1
439791,68;4473810,84;01  CENTRO;01-01 PALACIO;ALMENDRO, CALLE, DEL;9;Verde;Línea;2
439773,8;4473802,96;01  CENTRO;01-01 PALACIO;ALMENDRO, CALLE, DEL;11;Verde;Línea;4
439747,7;4474317,28;01  CENTRO;01-01 PALACIO;AMNISTIA, CALLE, DE LA;2;Verde;Línea;4
439710,1;4474308,37;01  CENTRO;01-01 PALACIO;AMNISTIA, CALLE, DE LA;5;Verde;Línea;3
439669,26;4474298,34;01  CENTRO;01-01 PALACIO;AMNISTIA, CALLE, DE LA;9;Verde;Línea;4
439502,54;4473486,08;01  CENTRO;01-01 PALACIO;ANGEL, CALLE, DEL;19;Verde;Línea;4
439901,66;4474452,11;01  CENTRO;01-01 PALACIO;ANGELES, COSTANILLA, DE LOS;4;Verde;Línea;10
439915,82;4474488,57;01  CENTRO;01-01 PALACIO;ANGELES, COSTANILLA, DE LOS;9;Verde;Línea;4
439933,29;4474565,32;01  CENTRO;01-01 PALACIO;ANGELES, COSTANILLA, DE LOS;20;Verde;Línea;4
439773,59;4474460,53;01  CENTRO;01-01 PALACIO;ARRIETA, CALLE, DE;2;Verde;Línea;4
439709,56;4474502,06;01  CENTRO;01-01 PALACIO;ARRIETA, CALLE, DE;7;Verde;Línea;2
439673,43;4474540,44;01  CENTRO;01-01 PALACIO;ARRIETA, CALLE, DE;17;Verde;Línea;3
439350,59;4473875;01  CENTRO;01-01 PALACIO;BEATRIZ GALINDO, CALLE, DE;1;Verde;Línea;2
439308,9;4473739,45;01  CENTRO;01-01 PALACIO;BEATRIZ GALINDO, CALLE, DE;6;Verde;Línea;19
439259,13;4473850,22;01  CENTRO;01-01 PALACIO;BEATRIZ GALINDO, CALLE, DE;S/N;Verde;Línea;35
439397,36;4473898,54;01  CENTRO;01-01 PALACIO;BEATRIZ GALINDO, CALLE, DE;S/N;Verde;Línea;17
439720,65;4473414,63;01  CENTRO;01-01 PALACIO;CALATRAVA, CALLE, DE;3;Verde;Línea;3
439705,15;4473420,04;01  CENTRO;01-01 PALACIO;CALATRAVA, CALLE, DE;4;Verde;Línea;12
439677,97;4473419,03;01  CENTRO;01-01 PALACIO;CALATRAVA, CALLE, DE;9;Verde;Línea;17
439631,99;4473424,19;01  CENTRO;01-01 PALACIO;CALATRAVA, CALLE, DE;17;Verde;Línea;2
439596,72;4473427,48;01  CENTRO;01-01 PALACIO;CALATRAVA, CALLE, DE;21;Verde;Línea;8
439571,35;4473437,92;01  CENTRO;01-01 PALACIO;CALATRAVA, CALLE, DE;22;Verde;Línea;10
439562,42;4473437,26;01  CENTRO;01-01 PALACIO;CALATRAVA, CALLE, DE;29;Verde;Línea;6
439515,95;4473460,06;01  CENTRO;01-01 PALACIO;CALATRAVA, CALLE, DE;30;Verde;Línea;11
439513,07;4473457,45;01  CENTRO;01-01 PALACIO;CALATRAVA, CALLE, DE;33;Verde;Línea;11
439472,83;4473512,59;01  CENTRO;01-01 PALACIO;CALATRAVA, CALLE, DE;36;Verde;Línea;13
439465,41;4473515,91;01  CENTRO;01-01 PALACIO;CALATRAVA, CALLE, DE;36;Verde;Línea;11
439481,7;4473483,2;01  CENTRO;01-01 PALACIO;CALATRAVA, CALLE, DE;37;Verde;Línea;3
439807,68;4474477,32;01  CENTRO;01-01 PALACIO;CAMPOMANES, CALLE, DE;4;Verde;Línea;4
439821,75;4474501,33;01  CENTRO;01-01 PALACIO;CAMPOMANES, CALLE, DE;5;Verde;Línea;4
439831,73;4474526,87;01  CENTRO;01-01 PALACIO;CAMPOMANES, CALLE, DE;9;Verde;Línea;1
439833,69;4474539,13;01  CENTRO;01-01 PALACIO;CAMPOMANES, CALLE, DE;11;Verde;Línea;4
439833,14;4474562,65;01  CENTRO;01-01 PALACIO;CAMPOMANES, CALLE, DE;13;Verde;Línea;6
439875,81;4474479,15;01  CENTRO;01-01 PALACIO;CAÑOS DEL PERAL, CALLE, DE LOS;4;Verde;Línea;14
439504,5;4473884,52;01  CENTRO;01-01 PALACIO;CAÑOS VIEJOS, CUESTA, DE LOS;2;Verde;Línea;6
439497,79;4473881,32;01  CENTRO;01-01 PALACIO;CAÑOS VIEJOS, CUESTA, DE LOS;3;Verde;Línea;4
439910,74;4473770,38;01  CENTRO;01-01 PALACIO;CAVA ALTA, CALLE, DE LA;5;Verde;Línea;6
439837,07;4473753,4;01  CENTRO;01-01 PALACIO;CAVA ALTA, CALLE, DE LA;14;Verde;Línea;12
439755,99;4473708,19;01  CENTRO;01-01 PALACIO;CAVA ALTA, CALLE, DE LA;34;Verde;Línea;8
439908,47;4473895,07;01  CENTRO;01-01 PALACIO;CAVA BAJA, CALLE, DE LA;4;Verde;Línea;3
439896,62;4473871,76;01  CENTRO;01-01 PALACIO;CAVA BAJA, CALLE, DE LA;8;Verde;Línea;6
439886,99;4473853,01;01  CENTRO;01-01 PALACIO;CAVA BAJA, CALLE, DE LA;12;Verde;Línea;1
439880,56;4473840,22;01  CENTRO;01-01 PALACIO;CAVA BAJA, CALLE, DE LA;16;Verde;Línea;2
439869,05;4473818,29;01  CENTRO;01-01 PALACIO;CAVA BAJA, CALLE, DE LA;18;Verde;Línea;2
439771,07;4473737,16;01  CENTRO;01-01 PALACIO;CAVA BAJA, CALLE, DE LA;37;Azul;Línea;14
439732,53;4473715,48;01  CENTRO;01-01 PALACIO;CAVA BAJA, CALLE, DE LA;47;Azul;Línea;4
439869,88;4474113,79;01  CENTRO;01-01 PALACIO;CAVA DE SAN MIGUEL, CALLE, DE LA;3;Verde;Línea;3
439825,87;4473561,16;01  CENTRO;01-01 PALACIO;CEBADA, CALLE, DE LA;1;Verde;Línea;1
439787,14;4473588,95;01  CENTRO;01-01 PALACIO;CEBADA, CALLE, DE LA;1;Verde;Línea;5
439754,91;4473586,46;01  CENTRO;01-01 PALACIO;CEBADA, CALLE, DE LA;5;Verde;Línea;9
439810,74;4473571,88;01  CENTRO;01-01 PALACIO;CEBADA, CALLE, DE LA;S/N;Verde;Línea;6
439857,2;4473654,4;01  CENTRO;01-01 PALACIO;CEBADA, PLAZA, DE LA;2;Azul;Batería;10
439836,95;4473657,36;01  CENTRO;01-01 PALACIO;CEBADA, PLAZA, DE LA;3;Azul;Batería;6
439819,66;4473650,74;01  CENTRO;01-01 PALACIO;CEBADA, PLAZA, DE LA;5;Azul;Línea;4
439816,7;4473660,23;01  CENTRO;01-01 PALACIO;CEBADA, PLAZA, DE LA;5;Azul;Batería;10
439796,41;4473663,21;01  CENTRO;01-01 PALACIO;CEBADA, PLAZA, DE LA;7;Azul;Batería;5
439765,28;4473658,24;01  CENTRO;01-01 PALACIO;CEBADA, PLAZA, DE LA;9;Azul;Línea;4
439744,82;4473661,75;01  CENTRO;01-01 PALACIO;CEBADA, PLAZA, DE LA;10;Azul;Línea;3
439756,28;4473668,7;01  CENTRO;01-01 PALACIO;CEBADA, PLAZA, DE LA;10;Azul;Batería;6
439734,53;4473673,22;01  CENTRO;01-01 PALACIO;CEBADA, PLAZA, DE LA;11;Azul;Batería;10
439792,95;4473654,87;01  CENTRO;01-01 PALACIO;CEBADA, PLAZA, DE LA;17;Azul;Línea;4
439103,63;4474048,5;01  CENTRO;01-01 PALACIO;CIUDAD DE PLASENCIA, PASEO, DE LA;S/N;Naranja;Línea;30
439021,38;4474066,43;01  CENTRO;01-01 PALACIO;CIUDAD DE PLASENCIA, PASEO, DE LA;S/N;Naranja;Batería;5
438881,35;4474062,11;01  CENTRO;01-01 PALACIO;CIUDAD DE PLASENCIA, PASEO, DE LA;S/N;Naranja;Línea;3
439024,87;4474043,52;01  CENTRO;01-01 PALACIO;CIUDAD DE PLASENCIA, PASEO, DE LA;S/N;Naranja;Batería;6
439103,85;4474056,23;01  CENTRO;01-01 PALACIO;CIUDAD DE PLASENCIA, PASEO, DE LA;S/N;Naranja;Línea;30
438945,45;4474053,19;01  CENTRO;01-01 PALACIO;CIUDAD DE PLASENCIA, PASEO, DE LA;S/N;Naranja;Línea;24
438933,31;4474060,41;01  CENTRO;01-01 PALACIO;CIUDAD DE PLASENCIA, PASEO, DE LA;S/N;Naranja;Línea;3
438974,57;4474059,57;01  CENTRO;01-01 PALACIO;CIUDAD DE PLASENCIA, PASEO, DE LA;S/N;Naranja;Línea;13
439868,03;4474193,42;01  CENTRO;01-01 PALACIO;COMANDANTE LAS MORENAS, PLAZA, DEL;3;Verde;Línea;3
439610,31;4473945,03;01  CENTRO;01-01 PALACIO;CRUZ VERDE, PLAZA, DE LA;1;Azul;Línea;3
439618,04;4474225,75;01  CENTRO;01-01 PALACIO;CRUZADA, CALLE, DE LA;5;Verde;Línea;2
439369,54;4473303,28;01  CENTRO;01-01 PALACIO;DESCARGAS, CUESTA, DE LAS;3;Verde;Línea;25
439422,79;4473260,88;01  CENTRO;01-01 PALACIO;DESCARGAS, CUESTA, DE LAS;4;Verde;Línea;1
439317,8;4473345,16;01  CENTRO;01-01 PALACIO;DESCARGAS, CUESTA, DE LAS;10;Verde;Línea;1
439322,38;4473341,56;01  CENTRO;01-01 PALACIO;DESCARGAS, CUESTA, DE LAS;10;Verde;Línea;1
439299,24;4473360,41;01  CENTRO;01-01 PALACIO;DESCARGAS, CUESTA, DE LAS;12;Verde;Línea;2
439280,97;4473374,98;01  CENTRO;01-01 PALACIO;DESCARGAS, CUESTA, DE LAS;14;Verde;Línea;5
439732,28;4474918,15;01  CENTRO;01-01 PALACIO;DOCTOR CARRACIDO, CALLE, DEL;1;Azul;Línea;7
439762,84;4473942,23;01  CENTRO;01-01 PALACIO;DOCTOR LETAMENDI, CALLE, DEL;1;Verde;Línea;11
439577,21;4473680,76;01  CENTRO;01-01 PALACIO;DON PEDRO, CALLE, DE;6;Verde;Línea;17
439490,71;4473691,4;01  CENTRO;01-01 PALACIO;DON PEDRO, CALLE, DE;7;Verde;Línea;12
439498,23;4473695,39;01  CENTRO;01-01 PALACIO;DON PEDRO, CALLE, DE;12;Verde;Línea;15
439405,52;4473711,84;01  CENTRO;01-01 PALACIO;DON PEDRO, CALLE, DE;17;Verde;Línea;5
439409,94;4473716,7;01  CENTRO;01-01 PALACIO;DON PEDRO, CALLE, DE;18;Verde;Línea;3
439380,79;4473716,11;01  CENTRO;01-01 PALACIO;DON PEDRO, CALLE, DE;19;Verde;Línea;2
439381,6;4473722,28;01  CENTRO;01-01 PALACIO;DON PEDRO, CALLE, DE;20;Verde;Línea;6
439662,7;4474613,75;01  CENTRO;01-01 PALACIO;ENCARNACION, CALLE, DE LA;1;Verde;Línea;7
439674,66;4474605,28;01  CENTRO;01-01 PALACIO;ENCARNACION, CALLE, DE LA;2;Verde;Línea;5
439644,74;4474642,62;01  CENTRO;01-01 PALACIO;ENCARNACION, CALLE, DE LA;6;Verde;Línea;6
439630,36;4474660,04;01  CENTRO;01-01 PALACIO;ENCARNACION, CALLE, DE LA;8;Verde;Línea;2
439618,99;4474674,08;01  CENTRO;01-01 PALACIO;ENCARNACION, CALLE, DE LA;10;Verde;Línea;3
439624,03;4474660,6;01  CENTRO;01-01 PALACIO;ENCARNACION, CALLE, DE LA;10;Verde;Línea;12
439625,16;4474666,58;01  CENTRO;01-01 PALACIO;ENCARNACION, CALLE, DE LA;10;Verde;Línea;1
439682,19;4474571,15;01  CENTRO;01-01 PALACIO;ENCARNACION, PLAZA, DE LA;4;Verde;Línea;5
439670,17;4474573,27;01  CENTRO;01-01 PALACIO;ENCARNACION, PLAZA, DE LA;4;Verde;Línea;5
439817,09;4474311,92;01  CENTRO;01-01 PALACIO;ESCALINATA, CALLE, DE LA;11;Verde;Línea;6
439613,55;4474920,58;01  CENTRO;01-01 PALACIO;ESPAÑA, PLAZA, DE;5;Azul;Línea;3
439775,38;4474321;01  CENTRO;01-01 PALACIO;ESPEJO, CALLE, DEL;14;Verde;Línea;5
439536,42;4474210,7;01  CENTRO;01-01 PALACIO;FACTOR, CALLE, DEL;7;Verde;Línea;1
439548,68;4474157,83;01  CENTRO;01-01 PALACIO;FACTOR, CALLE, DEL;10;Verde;Línea;4
439525,04;4474230,31;01  CENTRO;01-01 PALACIO;FACTOR, CALLE, DEL;14;Verde;Línea;4
439804,94;4474860,38;01  CENTRO;01-01 PALACIO;FLOR BAJA, CALLE, DE LA;3;Verde;Línea;2
439782,49;4474869,87;01  CENTRO;01-01 PALACIO;FLOR BAJA, CALLE, DE LA;4;Verde;Línea;5
439763,22;4474878,08;01  CENTRO;01-01 PALACIO;FLOR BAJA, CALLE, DE LA;6;Verde;Línea;2
439736,17;4474889,51;01  CENTRO;01-01 PALACIO;FLOR BAJA, CALLE, DE LA;8;Verde;Línea;6
439726,98;4474751,17;01  CENTRO;01-01 PALACIO;FOMENTO, CALLE, DE;16;Verde;Línea;9
439698,5;4474817,83;01  CENTRO;01-01 PALACIO;FOMENTO, CALLE, DE;30;Verde;Línea;6
439683,54;4474850,76;01  CENTRO;01-01 PALACIO;FOMENTO, CALLE, DE;36;Verde;Línea;3
439364,46;4473780,19;01  CENTRO;01-01 PALACIO;GABRIEL MIRO, PLAZA, DE;2;Verde;Línea;10
439367,55;4473767,56;01  CENTRO;01-01 PALACIO;GABRIEL MIRO, PLAZA, DE;3;Verde;Línea;16
439356,06;4473745,86;01  CENTRO;01-01 PALACIO;GABRIEL MIRO, PLAZA, DE;4;Verde;Línea;5
439347,93;4473718,31;01  CENTRO;01-01 PALACIO;GABRIEL MIRO, PLAZA, DE;7;Verde;Batería;10
439338,3;4473731,86;01  CENTRO;01-01 PALACIO;GABRIEL MIRO, PLAZA, DE;8;Verde;Línea;4
439922,69;4473860,19;01  CENTRO;01-01 PALACIO;GRAFAL, CALLE, DE;5;Verde;Línea;4
439562,14;4473224,19;01  CENTRO;01-01 PALACIO;GRAN VIA DE SAN FRANCISCO, AVENIDA, DE LA;3;Verde;Línea;3
439562,24;4473259,07;01  CENTRO;01-01 PALACIO;GRAN VIA DE SAN FRANCISCO, AVENIDA, DE LA;4;Azul;Línea;5
439546,67;4473250,76;01  CENTRO;01-01 PALACIO;GRAN VIA DE SAN FRANCISCO, AVENIDA, DE LA;5;Verde;Línea;5
439539,75;4473296,92;01  CENTRO;01-01 PALACIO;GRAN VIA DE SAN FRANCISCO, AVENIDA, DE LA;6;Azul;Línea;9
439524,12;4473288,81;01  CENTRO;01-01 PALACIO;GRAN VIA DE SAN FRANCISCO, AVENIDA, DE LA;7;Verde;Línea;13
439479,54;4473416,92;01  CENTRO;01-01 PALACIO;GRAN VIA DE SAN FRANCISCO, AVENIDA, DE LA;8;Azul;Línea;1
439501,67;4473323,83;01  CENTRO;01-01 PALACIO;GRAN VIA DE SAN FRANCISCO, AVENIDA, DE LA;9;Verde;Línea;2
439451,24;4473321,69;01  CENTRO;01-01 PALACIO;GRAN VIA DE SAN FRANCISCO, AVENIDA, DE LA;9;Verde;Línea;20
439489,75;4473389,42;01  CENTRO;01-01 PALACIO;GRAN VIA DE SAN FRANCISCO, AVENIDA, DE LA;11;Azul;Línea;6
439464,22;4473407,84;01  CENTRO;01-01 PALACIO;GRAN VIA DE SAN FRANCISCO, AVENIDA, DE LA;11;Verde;Línea;3
439469,56;4473392,71;01  CENTRO;01-01 PALACIO;GRAN VIA DE SAN FRANCISCO, AVENIDA, DE LA;11;Verde;Línea;1
439475,88;4473375,35;01  CENTRO;01-01 PALACIO;GRAN VIA DE SAN FRANCISCO, AVENIDA, DE LA;11;Verde;Línea;2
439446,93;4473454,74;01  CENTRO;01-01 PALACIO;GRAN VIA DE SAN FRANCISCO, AVENIDA, DE LA;17;Verde;Línea;9
439452,98;4473488,01;01  CENTRO;01-01 PALACIO;GRAN VIA DE SAN FRANCISCO, AVENIDA, DE LA;19;Verde;Línea;22
439508,29;4473863,12;01  CENTRO;01-01 PALACIO;GRANADO, CALLE, DEL;2;Verde;Batería;4
439725,48;4474626,68;01  CENTRO;01-01 PALACIO;GUILLERMO ROLLAND, CALLE, DE;1;Verde;Línea;3
439679,38;4474684,44;01  CENTRO;01-01 PALACIO;GUILLERMO ROLLAND, CALLE, DE;11;Verde;Línea;4
439731,59;4473556,92;01  CENTRO;01-01 PALACIO;HUMILLADERO, CALLE, DEL;3;Verde;Línea;8
439712,57;4473643,11;01  CENTRO;01-01 PALACIO;HUMILLADERO, CALLE, DEL;4;Verde;Línea;6
439716,41;4473619,66;01  CENTRO;01-01 PALACIO;HUMILLADERO, CALLE, DEL;8;Verde;Línea;2
439720,7;4473594,95;01  CENTRO;01-01 PALACIO;HUMILLADERO, CALLE, DEL;10;Verde;Línea;2
439731,36;4473514,45;01  CENTRO;01-01 PALACIO;HUMILLADERO, CALLE, DEL;11;Verde;Línea;5
439723,41;4473575,07;01  CENTRO;01-01 PALACIO;HUMILLADERO, CALLE, DEL;14;Verde;Línea;4
439725,43;4473562,17;01  CENTRO;01-01 PALACIO;HUMILLADERO, CALLE, DEL;16;Verde;Línea;2
439727,82;4473517,2;01  CENTRO;01-01 PALACIO;HUMILLADERO, CALLE, DEL;20;Verde;Línea;6
439766,16;4474363,8;01  CENTRO;01-01 PALACIO;INDEPENDENCIA, CALLE, DE LA;4;Verde;Línea;5
439833,8;4474782,9;01  CENTRO;01-01 PALACIO;ISABEL LA CATOLICA, CALLE, DE;13;Verde;Línea;15
439554,67;4473345,58;01  CENTRO;01-01 PALACIO;ISABEL TINTERO, CALLE, DE;3;Verde;Línea;17
439310,6;4473620,68;01  CENTRO;01-01 PALACIO;JERTE, CALLE, DE;8;Verde;Línea;21
439650,88;4474147,31;01  CENTRO;01-01 PALACIO;JUAN DE HERRERA, CALLE, DE;1;Verde;Línea;3
439619,13;4474144,12;01  CENTRO;01-01 PALACIO;JUAN DE HERRERA, CALLE, DE;6;Verde;Línea;1
439808,88;4474721,56;01  CENTRO;01-01 PALACIO;LEGANITOS, CALLE, DE;1;Verde;Línea;3
439820,51;4474707,39;01  CENTRO;01-01 PALACIO;LEGANITOS, CALLE, DE;2;Verde;Línea;1
439793,59;4474742,82;01  CENTRO;01-01 PALACIO;LEGANITOS, CALLE, DE;6;Verde;Línea;1
439783,93;4474758,58;01  CENTRO;01-01 PALACIO;LEGANITOS, CALLE, DE;8;Verde;Línea;5
439746,62;4474828,89;01  CENTRO;01-01 PALACIO;LEGANITOS, CALLE, DE;18;Verde;Línea;2
439748,33;4474815,82;01  CENTRO;01-01 PALACIO;LEGANITOS, CALLE, DE;23;Verde;Línea;8
439731,14;4474860,06;01  CENTRO;01-01 PALACIO;LEGANITOS, CALLE, DE;24;Verde;Línea;8
439735,5;4474841,75;01  CENTRO;01-01 PALACIO;LEGANITOS, CALLE, DE;29;Verde;Línea;1
439690,9;4474946,05;01  CENTRO;01-01 PALACIO;LEGANITOS, CALLE, DE;32;Azul;Línea;6
439722,5;4474867,78;01  CENTRO;01-01 PALACIO;LEGANITOS, CALLE, DE;35;Verde;Línea;5
439692,35;4474928,57;01  CENTRO;01-01 PALACIO;LEGANITOS, CALLE, DE;45;Azul;Línea;2
439686;4474941,62;01  CENTRO;01-01 PALACIO;LEGANITOS, CALLE, DE;47;Azul;Línea;2
439699,57;4473550,4;01  CENTRO;01-01 PALACIO;LUCIENTE, CALLE, DE;3;Verde;Línea;11
439667,95;4473557,69;01  CENTRO;01-01 PALACIO;LUCIENTE, CALLE, DE;8;Verde;Línea;1
439652,45;4473561,24;01  CENTRO;01-01 PALACIO;LUCIENTE, CALLE, DE;12;Verde;Línea;4
439635,92;4473565,19;01  CENTRO;01-01 PALACIO;LUCIENTE, CALLE, DE;14;Verde;Línea;1
439600,13;4473733,91;01  CENTRO;01-01 PALACIO;MANCEBOS, CALLE, DE LOS;4;Verde;Línea;8
439556,58;4473737,04;01  CENTRO;01-01 PALACIO;MANCEBOS, CALLE, DE LOS;8;Verde;Línea;7
439526,31;4473762,04;01  CENTRO;01-01 PALACIO;MANCEBOS, CALLE, DE LOS;11;Verde;Línea;3
439515,71;4473789,65;01  CENTRO;01-01 PALACIO;MANCEBOS, CALLE, DE LOS;16;Verde;Batería;8
439501,76;4473829,02;01  CENTRO;01-01 PALACIO;MANCEBOS, CALLE, DE LOS;18;Verde;Línea;8
439497,87;4473827,85;01  CENTRO;01-01 PALACIO;MANCEBOS, CALLE, DE LOS;18;Verde;Línea;7
439831,31;4474161,12;01  CENTRO;01-01 PALACIO;MAYOR, CALLE;50;Verde;Línea;5
439400,81;4474070,47;01  CENTRO;01-01 PALACIO;MAYOR, CALLE;83;Verde;Batería;2
439418,98;4474069,04;01  CENTRO;01-01 PALACIO;MAYOR, CALLE;83;Verde;Batería;6
439320,14;4474023,75;01  CENTRO;01-01 PALACIO;MAYOR, CALLE;85;Verde;Batería;10
439377,65;4474073,37;01  CENTRO;01-01 PALACIO;MAYOR, CALLE;85;Verde;Línea;4
439320,14;4474023,75;01  CENTRO;01-01 PALACIO;MAYOR, CALLE;85;Verde;Batería;9
439419,51;4474079,89;01  CENTRO;01-01 PALACIO;MAYOR, CALLE;90;Verde;Línea;9
439330,12;4474050,91;01  CENTRO;01-01 PALACIO;MAYOR, CALLE;92;Verde;Línea;21
439355,03;4474085,89;01  CENTRO;01-01 PALACIO;MAYOR, CALLE;92;Verde;Línea;4
439326,22;4474072,61;01  CENTRO;01-01 PALACIO;MAYOR, CALLE;S/N;Verde;Línea;8
439695,53;4473503,18;01  CENTRO;01-01 PALACIO;MEDIODIA GRANDE, CALLE, DEL;3;Verde;Línea;12
439622,28;4473515,79;01  CENTRO;01-01 PALACIO;MEDIODIA GRANDE, CALLE, DEL;15;Verde;Línea;4
439603,93;4473520,28;01  CENTRO;01-01 PALACIO;MEDIODIA GRANDE, CALLE, DEL;21;Verde;Línea;1
439507,1;4473852,78;01  CENTRO;01-01 PALACIO;MORERIA, CALLE, DE LA;7;Verde;Línea;3
439428,61;4473840,58;01  CENTRO;01-01 PALACIO;MORERIA, CALLE, DE LA;10;Verde;Línea;4
439469,9;4473847,22;01  CENTRO;01-01 PALACIO;MORERIA, CALLE, DE LA;11;Verde;Línea;6
439397,97;4473821,27;01  CENTRO;01-01 PALACIO;MORERIA, CALLE, DE LA;12;Verde;Línea;10
439418,56;4473827,47;01  CENTRO;01-01 PALACIO;MORERIA, CALLE, DE LA;15;Verde;Línea;4
439401,02;4473816,59;01  CENTRO;01-01 PALACIO;MORERIA, CALLE, DE LA;17;Verde;Línea;2
439530,26;4473876,05;01  CENTRO;01-01 PALACIO;MORERIA, PLAZA, DE LA;2;Verde;Línea;13
439576,28;4474269,25;01  CENTRO;01-01 PALACIO;NOBLEJAS, CALLE, DE;2;Verde;Línea;11
439683,11;4473611,8;01  CENTRO;01-01 PALACIO;ORIENTE, CALLE, DE;5;Verde;Línea;14
439612,53;4473400,43;01  CENTRO;01-01 PALACIO;PALOMA, CALLE, DE LA;5;Verde;Línea;8
439608,77;4473379,77;01  CENTRO;01-01 PALACIO;PALOMA, CALLE, DE LA;6;Verde;Línea;3
439605,26;4473361,19;01  CENTRO;01-01 PALACIO;PALOMA, CALLE, DE LA;8;Verde;Línea;6
439717,26;4473865,32;01  CENTRO;01-01 PALACIO;PRINCIPE ANGLONA, CALLE, DEL;1;Verde;Línea;1
439680,41;4473665,96;01  CENTRO;01-01 PALACIO;PUERTA DE MOROS, PLAZA, DE LA;3;Verde;Línea;6
439660,15;4473672,55;01  CENTRO;01-01 PALACIO;PUERTA DE MOROS, PLAZA, DE LA;4;Azul;Batería;10
439684,78;4473678,73;01  CENTRO;01-01 PALACIO;PUERTA DE MOROS, PLAZA, DE LA;8;Azul;Batería;6
439365,69;4473989,84;01  CENTRO;01-01 PALACIO;RAMON, CUESTA, DE;1;Verde;Línea;27
439402,98;4473994,9;01  CENTRO;01-01 PALACIO;RAMON, CUESTA, DE;3;Verde;Línea;5
439547,95;4473790,35;01  CENTRO;01-01 PALACIO;REDONDILLA, CALLE, DE LA;7;Verde;Línea;11
439462,72;4473722,15;01  CENTRO;01-01 PALACIO;REDONDILLA, CALLE, DE LA;14;Verde;Línea;4
439462,87;4473718,15;01  CENTRO;01-01 PALACIO;REDONDILLA, CALLE, DE LA;17;Verde;Línea;3
439648,51;4474885,99;01  CENTRO;01-01 PALACIO;RIO, CALLE, DEL;5;Verde;Línea;2
439420,66;4473470,74;01  CENTRO;01-01 PALACIO;ROSARIO, CALLE, DEL;5;Verde;Línea;5
439402,86;4473461,39;01  CENTRO;01-01 PALACIO;ROSARIO, CALLE, DEL;7;Verde;Línea;2
439409,02;4473464,68;01  CENTRO;01-01 PALACIO;ROSARIO, CALLE, DEL;7;Verde;Línea;1
439388,32;4473453,74;01  CENTRO;01-01 PALACIO;ROSARIO, CALLE, DEL;13;Verde;Línea;2
439367,91;4473443,05;01  CENTRO;01-01 PALACIO;ROSARIO, CALLE, DEL;17;Verde;Línea;1
439352,53;4473435,02;01  CENTRO;01-01 PALACIO;ROSARIO, CALLE, DEL;19;Verde;Línea;2
439348,14;4473440,06;01  CENTRO;01-01 PALACIO;ROSARIO, CALLE, DEL;19;Verde;Línea;43
439322,63;4473419,47;01  CENTRO;01-01 PALACIO;ROSARIO, CALLE, DEL;25;Verde;Línea;11
439281,83;4473397,62;01  CENTRO;01-01 PALACIO;ROSARIO, CALLE, DEL;29;Verde;Línea;5
439616,02;4473860,04;01  CENTRO;01-01 PALACIO;SAN ANDRES, COSTANILLA, DE;8;Verde;Línea;20
439435,93;4473421,2;01  CENTRO;01-01 PALACIO;SAN BERNABE, CALLE, DE;8;Verde;Línea;4
439440,82;4473418,93;01  CENTRO;01-01 PALACIO;SAN BERNABE, CALLE, DE;8;Verde;Línea;3
439418,21;4473411,7;01  CENTRO;01-01 PALACIO;SAN BERNABE, CALLE, DE;10;Verde;Línea;1
