FID,ID,NOMBRE,DESCRIPCION,DIRECCION,SDOGEOMETRIA,URL,EMAIL,CONTACTO,HORARIOS,PRECIOS,TITULARIDAD,TARJETAJOVEN,ACCESOPMR,NROPLAZAS,TOTALPLAZAS
da_aparcamientosMovilidadReducida.fid--175d4967_1a00d91a118_-6c8f,66664,APARCAPMR_690,Esquina con c/ Cristo de la Epidemia,"CALLE PACO MIRANDA, 26 ",POINT (373531.024873061 4066067.7728633),,,,,,MUNICIPAL,No,No,2,2028
da_aparcamientosMovilidadReducida.fid--175d4967_1a00d91a118_-6c8e,66882,APARCAPMR_500,Esquina con Cl. Guillén Sotelo,"CALLE ALCALDE PEDRO LUIS ALONSO, 2 ",POINT (373550.215562787 4064756.73528077),,,,,,MUNICIPAL,No,No,1,2028
da_aparcamientosMovilidadReducida.fid--175d4967_1a00d91a118_-6c8d,66485,APARCAPMR_630,A la altura del nº 3,"PLAZA DE OLLETAS, 7 ",POINT (373590.335996478 4066231.18089098),,,,,,MUNICIPAL,No,No,1,2028
da_aparcamientosMovilidadReducida.fid--175d4967_1a00d91a118_-6c8c,77963,APARCAPMR_1331,C/ Miguel Bueno Lara esquina con la Plaza Maestro Artola,"CALLE MIGUEL BUENO LARA, 8 ",POINT (373310.781364246 4065803.75483508),,,,,,MUNICIPAL,No,No,1,2028
da_aparcamientosMovilidadReducida.fid--175d4967_1a00d91a118_-6c8b,66132,APARCAPMR_798,,"CALLE FRANCISCO GUILLÓN, 1 ",POINT (378375.709443426 4065423.47277192),,,,,,MUNICIPAL,No,No,1,2028
da_aparcamientosMovilidadReducida.fid--175d4967_1a00d91a118_-6c8a,66825,APARCAPMR_1148,Esq. Plaza Olletas,"PLAZA DE OLLETAS, 6 ",POINT (373553.999656661 4066222.99971781),,,,,,MUNICIPAL,No,No,2,2028
da_aparcamientosMovilidadReducida.fid--175d4967_1a00d91a118_-6c89,67054,APARCAPMR_166,Esquina con c/ Amador de los Ríos,"CALLE MANUEL DE PALACIO, 19 ",POINT (377704.78956746 4065285.08934224),,,,,,MUNICIPAL,No,No,4,2028
da_aparcamientosMovilidadReducida.fid--175d4967_1a00d91a118_-6c88,66953,APARCAPMR_362,Esquina con c/ Rojas,"CALLE MOYA, 18 ",POINT (373164.33245335 4066185.96707771),,,,,,MUNICIPAL,No,No,1,2028
da_aparcamientosMovilidadReducida.fid--175d4967_1a00d91a118_-6c87,66251,APARCAPMR_778,a la altura del nº 6,"CALLE CHIRIMOYOS, 3 ",POINT (373387.794480891 4067280.89904527),,,,,,MUNICIPAL,No,No,2,2028
da_aparcamientosMovilidadReducida.fid--175d4967_1a00d91a118_-6c86,66833,APARCAPMR_1066,Esq. con Pasaje de Gaza,"PLAZA DE NAZARET, 2 ",POINT (373139.257258758 4066816.87614844),,,,,,MUNICIPAL,No,No,1,2028
da_aparcamientosMovilidadReducida.fid--175d4967_1a00d91a118_-6c85,67273,APARCAPMR_483,A la altura del nº 4,"PLAZA DE NAZARET, 4 ",POINT (373201.659025904 4066796.85272838),,,,,,MUNICIPAL,No,No,1,2028
da_aparcamientosMovilidadReducida.fid--175d4967_1a00d91a118_-6c84,66443,APARCAPMR_959,,"AVENIDA DE LA CIBELES, 6 ",POINT (373183.218707989 4066854.50608098),,,,,,MUNICIPAL,No,No,1,2028
da_aparcamientosMovilidadReducida.fid--175d4967_1a00d91a118_-6c83,66277,APARCAPMR_795,,"AVENIDA DE LA CIBELES, 3 ",POINT (373163.946648377 4066867.77456997),,,,,,MUNICIPAL,No,No,1,2028
