"name";"address";"category";lon;lat;"status";temperature;rotationbegin;rotationend;rotationduration;"signal_status";datenosignal
"PS_VR-CyD_4BCTeobaldosN7";"4B C. Teobaldos Nº 7";"forLoadUnload";-1.638147;42.813773;"occupied";27;2026-08-17 23:55:25.292;;;"on";
"PS_VR-CyD_5LCLeyreN3";"5L C. Leyre Nº 3";"forLoadUnload";-1.638547;42.814432;"occupied";29;2026-08-18 05:46:08.275;;;"on";
"PS_VR-CyD_5LCLeyreN3";"5L C. Leyre Nº 3";"forLoadUnload";-1.638495;42.814466;"occupied";24;2026-08-17 13:27:35.067;;;"on";
"PS_VR-CyD_5LCLeyreN3";"5L C. Leyre Nº 3";"forLoadUnload";-1.638439;42.814501;"occupied";21;2026-08-18 06:57:17.146;;;"on";
"PS_VR-CyD_5LCLeyreN3";"5L C. Leyre Nº 3";"forLoadUnload";-1.638341;42.81456;"occupied";34;2026-06-08 16:59:08.122;2026-06-08 17:00:13.116;64.994;"commsfail";2026-07-09 03:40:57.48
"PS_VR-CyD_2LCAralarN43";"2L C. Aralar Nº 43";"forLoadUnload";-1.632359;42.810848;"occupied";25;2026-08-17 21:01:46.386;;;"on";2026-01-27 20:13:21.448
"PS_VR-CyD_2LCAralarN43";"2L C. Aralar Nº 43";"forLoadUnload";-1.632293;42.810792;"occupied";10;2026-01-19 13:54:48.535;;;"commsfail";2026-02-19 02:13:25.586
"PS_VR-CyD_3BCIturraldeySuitN22";"3B C. Iturralde y Suit Nº 22";"forLoadUnload";-1.633479;42.811527;"occupied";21;2026-08-18 06:45:14.685;;;"on";2026-06-07 20:30:49.957
"PS_VR-CyD_3BCIturraldeySuitN22";"3B C. Iturralde y Suit Nº 22";"forLoadUnload";-1.6335;42.811513;"occupied";28;2026-08-18 06:28:33.99;;;"on";2026-01-27 14:48:59.826
"PS_VR-CyD_3BCIturraldeySuitN22";"3B C. Iturralde y Suit Nº 22";"forLoadUnload";-1.633521;42.811499;"free";21;2026-08-18 06:20:06.596;;;"on";
"PS_VR-CyD_3BCCastillodeMayaN27";"3B C. Castillo de Maya Nº 27";"forLoadUnload";-1.634383;42.811865;"occupied";26;2026-08-18 06:17:05.31;;;"on";
"PS_VR-CyD_3BCCastillodeMayaN27";"3B C. Castillo de Maya Nº 27";"forLoadUnload";-1.63439;42.811838;"occupied";30;2026-08-18 06:39:42.015;;;"on";
"PS_VR-CyD_3BCCastillodeMayaN27";"3B C. Castillo de Maya Nº 27";"forLoadUnload";-1.634391;42.811812;"occupied";28;2026-08-18 06:27:02.261;;;"on";
"PS_VR-CyD_3LCAralarN15";"3L C. Aralar Nº 15";"forLoadUnload";-1.635112;42.813318;"occupied";33;2026-07-23 22:33:00.472;;;"commsfail";2026-08-18 05:41:00.433
"PS_VR-CyD_3LCAralarN15";"3L C. Aralar Nº 15";"forLoadUnload";-1.635072;42.813285;"occupied";10;;;;"commsfail";2025-12-08 17:18:31.305
"PS_VR-CyD_11BCOliteN26";"11B C. Olite Nº 26";"forLoadUnload";-1.635972;42.812664;"free";25;2026-08-18 06:55:11.207;;;"on";
"PS_VR-CyD_11BCOliteN26";"11B C. Olite Nº 26";"forLoadUnload";-1.635952;42.812646;"free";23;2026-08-18 06:09:54.203;;;"on";
"PS_VR-CyD_11BCOliteN26";"11B C. Olite Nº 26";"forLoadUnload";-1.635933;42.812628;"free";1;2026-01-06 16:56:39.706;2026-01-06 16:58:43.744;124.038;"commsfail";2026-02-06 04:13:23.159
"PS_VR-CyD_11BCOliteN26";"11B C. Olite Nº 26";"forLoadUnload";-1.63589;42.812596;"free";24;2026-08-17 07:52:24.129;2026-08-17 19:52:15.644;43191.515;"on";2026-01-27 18:13:21.335
"PS_VR-CyD_11BCOliteN26";"11B C. Olite Nº 26";"forLoadUnload";-1.635868;42.812576;"occupied";23;2026-08-18 07:02:49.765;;;"on";
"PS_VR-CyD_11BCOliteN26";"11B C. Olite Nº 26";"forLoadUnload";-1.635847;42.812557;"occupied";3;;;;"commsfail";2026-02-09 20:13:23.724
"PS_VR-CyD_11BCOliteN26";"11B C. Olite Nº 26";"forLoadUnload";-1.635781;42.812502;"occupied";24;2026-08-18 04:35:24.879;2026-08-18 04:42:57.859;452.98;"on";
"PS_VR-CyD_2LCFGorritiN18";"2L C. F. Gorriti Nº 18";"forLoadUnload";-1.63617;42.811936;"occupied";38;2026-05-29 08:04:29.424;;;"commsfail";2026-07-21 05:40:58.395
"PS_VR-CyD_3BCAmayaN21";"3B C. Amaya Nº 21";"forLoadUnload";-1.636163;42.811709;"occupied";19;2026-06-01 10:33:47.588;;;"commsfail";2026-07-01 17:40:56.763
"PS_VR-CyD_3BCAmayaN21";"3B C. Amaya Nº 21";"forLoadUnload";-1.636119;42.811664;"free";27;2026-08-18 06:18:15.264;2026-08-18 06:22:12.289;237.025;"on";2026-01-27 12:48:59.876
"PS_VR-CyD_3BCAmayaN31";"3B C. Amaya Nº 31";"forLoadUnload";-1.634496;42.810214;"occupied";25;2026-08-13 19:05:36.696;;;"on";2026-07-20 05:40:58.296
"PS_VR-CyD_3BCAmayaN31";"3B C. Amaya Nº 31";"forLoadUnload";-1.634548;42.810254;"occupied";0;2026-02-18 16:10:29.402;;;"commsfail";2026-03-20 18:30:33.027
"PS_VR-CyD_7BCAmayaN11";"7B C. Amaya Nº 11";"forLoadUnload";-1.637234;42.812668;"free";9;2026-01-15 03:03:58.292;2026-01-15 03:04:11.828;13.536;"commsfail";2026-02-21 02:13:26.03
"PS_VR-CyD_7BCAmayaN11";"7B C. Amaya Nº 11";"forLoadUnload";-1.637258;42.812688;"occupied";19;2026-04-11 01:40:37.129;;;"commsfail";2026-06-09 20:30:50.249
"PS_VR-CyD_7BCAmayaN11";"7B C. Amaya Nº 11";"forLoadUnload";-1.637297;42.812725;"free";24;2026-08-13 07:34:45.541;2026-08-13 19:34:02.33;43156.789;"on";2026-08-02 17:40:59.255
"PS_VR-CyD_7BCAmayaN11";"7B C. Amaya Nº 11";"forLoadUnload";-1.637317;42.812746;"occupied";20;2026-04-10 08:17:30.418;;;"commsfail";2026-05-10 18:30:41.252
"PS_VR-CyD_5BCSanFermínN33";"5B C. San Fermín Nº 33";"forLoadUnload";-1.63821;42.812614;"free";10;2026-02-27 08:58:41.383;;;"commsfail";2026-03-30 06:30:35.546
"PS_VR-CyD_5BCSanFermínN33";"5B C. San Fermín Nº 33";"forLoadUnload";-1.638175;42.812636;"occupied";24;2026-08-17 19:59:46.395;;;"on";2026-01-27 14:48:59.827
"PS_VR-CyD_5BCSanFermínN33";"5B C. San Fermín Nº 33";"forLoadUnload";-1.638138;42.812658;"free";22;2026-08-18 05:44:28.919;;;"on";
"PS_VR-CyD_5BCSanFermínN33";"5B C. San Fermín Nº 33";"forLoadUnload";-1.638103;42.812679;"occupied";4;2025-12-01 13:22:47.414;2025-12-01 15:11:28.222;6520.808;"commsfail";2025-12-31 15:18:35.418
"PS_VR-CyD_2LCFelipeGorritiN33";"2L C. Felipe Gorriti Nº 33";"forLoadUnload";-1.636595;42.811603;"free";8;2026-01-27 12:05:27.46;2026-01-28 00:05:05.98;43178.52;"commsfail";2026-02-26 22:13:26.648
