FID,ID,NOMBRE,DESCRIPCION,DIRECCION,SDOGEOMETRIA,URL,EMAIL,CONTACTO,HORARIOS,PRECIOS,TITULARIDAD,TARJETAJOVEN,ACCESOPMR,NROPLAZAS,TOTALPLAZAS
da_aparcamientosBici.fid--175d4967_1a00d9bb795_fd4,65942,APARCABICIS_104,A la altura del Complejo Deportivo de Carranque,"AVENIDA DE SANTA ROSA DE LIMA, 5 ",POINT (370615.05377645 4064942.80339637),,,,,,MUNICIPAL,No,No,4,2084
da_aparcamientosBici.fid--175d4967_1a00d9bb795_fd5,78128,APARCABICIS_348,,"CALLE CÓMPETA, 29 ",POINT (370197.444489986 4064715.90552644),,,,,,MUNICIPAL,No,No,8,2084
da_aparcamientosBici.fid--175d4967_1a00d9bb795_fd6,66050,APARCABICIS_256,Esquina con Cl. Canales,"CALLE CANALES, 10 ",POINT (372521.094750232 4063791.46393599),,,,,,MUNICIPAL,No,No,8,2084
da_aparcamientosBici.fid--175d4967_1a00d9bb795_fd7,65950,APARCABICIS_126,En el parque.,"CALLE NIÑO DEL MUSEO, 3 ",POINT (370605.092722249 4062540.27865294),,,,,,MUNICIPAL,No,No,8,2084
da_aparcamientosBici.fid--175d4967_1a00d9bb795_fd8,66076,APARCABICIS_278,A la altura del número 1,"PLAZA DE LA LUZ, 1 ",POINT (370191.790192465 4062145.04526407),,,,,,MUNICIPAL,No,No,6,2084
da_aparcamientosBici.fid--175d4967_1a00d9bb795_fd9,79054,APARCABICIS_890,Recinto ferial entre C/ Paquiro y Avenida las Malagueñas,"CALLE PAQUIRO, 2 ",POINT (369365.298029467 4062677.70827363),,,,,,MUNICIPAL,No,No,10,2084
da_aparcamientosBici.fid--175d4967_1a00d9bb795_fda,65937,APARCABICIS_015,Frente salida estación.,"CALLE EXPLANADA DE LA ESTACIÓN, 3 ",POINT (372175.097834897 4063902.54060231),,,,,,MUNICIPAL,No,No,12,2084
da_aparcamientosBici.fid--175d4967_1a00d9bb795_fdb,66065,APARCABICIS_273,Esquina Plaza Eduardo Dato,"CALLE JOSÉ CANALEJAS, 5 ",POINT (371734.575151902 4065830.95251664),,,,,,MUNICIPAL,No,No,8,2084
da_aparcamientosBici.fid--175d4967_1a00d9bb795_fdc,66119,APARCABICIS_321,,"CALLE MORENO NIETO, 8 ",POINT (371695.739521513 4065883.31725712),,,,,,MUNICIPAL,No,No,8,2084
da_aparcamientosBici.fid--175d4967_1a00d9bb795_fdd,65891,APARCABICIS_010,Esquina con Av.de Cervantes. ,"CALLE ROMA, 2 ",POINT (373675.427274891 4064766.33677073),,,,,,MUNICIPAL,No,No,10,2084
da_aparcamientosBici.fid--175d4967_1a00d9bb795_fde,66084,APARCABICIS_294,Pl. Pepe Mena,"CALLE OLLERÍAS, 55 ",POINT (372933.427493758 4065411.8176378),,,,,,MUNICIPAL,No,No,8,2084
da_aparcamientosBici.fid--175d4967_1a00d9bb795_fdf,66054,APARCABICIS_261,A la altura del número 31,"CALLE LAS MORERAS, 31 ",POINT (373434.426854267 4067444.87690127),,,,,,MUNICIPAL,No,No,6,2084
da_aparcamientosBici.fid--175d4967_1a00d9bb795_fe0,66078,APARCABICIS_280,Esquina c/ Niño del Museo,"CALLE NIÑO DEL MUSEO, 14 ",POINT (370574.653942181 4062609.84502381),,,,,,MUNICIPAL,No,No,8,2084
da_aparcamientosBici.fid--175d4967_1a00d9bb795_fe1,66015,APARCABICIS_056,Nº 34.,"CALLE MARTÍNEZ FALERO, 34 ",POINT (378898.482837426 4064779.26063043),,,,,,MUNICIPAL,No,No,4,2084
da_aparcamientosBici.fid--175d4967_1a00d9bb795_fe2,65900,APARCABICIS_022,A la altura del Polideportivo Trinidad,"CALLE MALASAÑA, 4 ",POINT (372556.324369685 4065140.29674823),,,,,,MUNICIPAL,No,No,4,2084
da_aparcamientosBici.fid--175d4967_1a00d9bb795_fe3,66090,APARCABICIS_301,Esq. Cl. San Lucas Mayor,"CALLE AMARGURA, 58 ",POINT (373982.600710402 4065830.15828001),,,,,,MUNICIPAL,No,No,8,2084
da_aparcamientosBici.fid--175d4967_1a00d9bb795_fe4,65969,APARCABICIS_173,Esq. con Cl. Árbol Blanco (Biblioteca),"CALLE ÁRBOL BLANCO, 19 ",POINT (365792.606336459 4058840.21857127),,,,,,MUNICIPAL,No,No,8,2084
da_aparcamientosBici.fid--175d4967_1a00d9bb795_fe5,65889,APARCABICIS_341,Puerta I.E.S Huelin,"CALLE TOMÁS ECHEVERRÍA, 4 ",POINT (371752.999890219 4063034.00052281),,,,,,MUNICIPAL,No,No,8,2084
da_aparcamientosBici.fid--175d4967_1a00d9bb795_fe6,66097,APARCABICIS_307,Junto a estación de Metro,"CALLE SANTA MARTA, 8 ",POINT (371349.308155672 4063808.66462721),,,,,,MUNICIPAL,No,No,8,2084
da_aparcamientosBici.fid--175d4967_1a00d9bb795_fe7,66080,APARCABICIS_282,A la altura del número 4,"CALLE CRISTOBALINA FERNÁNDEZ, 4 ",POINT (362776.974242561 4065249.68366956),,,,,,MUNICIPAL,No,No,8,2084
da_aparcamientosBici.fid--175d4967_1a00d9bb795_fe8,66096,APARCABICIS_306,Esq. Benjamín Franklin,"CALLE DE CRISTÓBAL DE VILLALÓN, 11 ",POINT (370072.539672981 4063725.64322841),,,,,,MUNICIPAL,No,No,6,2084
da_aparcamientosBici.fid--175d4967_1a00d9bb795_fe9,66059,APARCABICIS_267,A la altura del número 26,"CALLE PAQUIRO, 26 ",POINT (368943.794231139 4062499.83130879),,,,,,MUNICIPAL,No,No,8,2084
da_aparcamientosBici.fid--175d4967_1a00d9bb795_fea,66024,APARCABICIS_110,,"CALLE CONDE DE GUADALHORCE, 17 ",POINT (371156.583622935 4064133.80073022),,,,,,MUNICIPAL,No,No,8,2084
