"Codigo de via";"Clase de la via";"Particula de la via";"Nombre de la via";"Tipo de tramo ";"Nombre de la aproximacion";"Numero inicial del tramo";"Calificador del numero inicial del tramo";"Numero final del tramo";"Calificador del numero final del tramo";"Zona S E R  del tramo"
"00102100";"CALLE                   ";"DE    ";"BENIDORM                                        ";"par  ";"NUM";"000002";"  ";"000032";"  ";"000151"
"00102400";"CALLE                   ";"DE    ";"BENIGNO SOTO                                    ";"impar";"NUM";"000001";"  ";"000999";"  ";"000053"
"00102400";"CALLE                   ";"DE    ";"BENIGNO SOTO                                    ";"par  ";"NUM";"000002";"  ";"000998";"  ";"000053"
"00103200";"CALLE                   ";"DE    ";"BENITO DE CASTRO                                ";"impar";"NUM";"000001";"  ";"000999";"  ";"000043"
"00103200";"CALLE                   ";"DE    ";"BENITO DE CASTRO                                ";"par  ";"NUM";"000002";"  ";"000998";"  ";"000043"
"00103300";"CALLE                   ";"DE    ";"BENITO GUTIERREZ                                ";"impar";"NUM";"000001";"  ";"000999";"  ";"000092"
"00103300";"CALLE                   ";"DE    ";"BENITO GUTIERREZ                                ";"par  ";"NUM";"000002";"  ";"000998";"  ";"000092"
"00103600";"CALLE                   ";"DE    ";"BENITO VALDERAS                                 ";"impar";"NUM";"000001";"  ";"000999";"  ";"000023"
"00103600";"CALLE                   ";"DE    ";"BENITO VALDERAS                                 ";"par  ";"NUM";"000002";"  ";"000998";"  ";"000023"
"00103700";"CALLE                   ";"DE    ";"BENJAMIN                                        ";"impar";"NUM";"000001";"  ";"000999";"  ";"000065"
"00103700";"CALLE                   ";"DE    ";"BENJAMIN                                        ";"par  ";"NUM";"000002";"  ";"000998";"  ";"000065"
"00104100";"CALLE                   ";"DE    ";"BERASTEGUI                                      ";"impar";"NUM";"000001";"  ";"000009";"  ";"000152"
"00104100";"CALLE                   ";"DE    ";"BERASTEGUI                                      ";"par  ";"NUM";"000002";"  ";"000014";"  ";"000152"
"00104400";"CALLE                   ";"DE LA ";"BERENJENA                                       ";"impar";"NUM";"000001";"  ";"000999";"  ";"000013"
"00104400";"CALLE                   ";"DE LA ";"BERENJENA                                       ";"par  ";"NUM";"000002";"  ";"000998";"  ";"000013"
"00104600";"CALLE                   ";"DE    ";"BERLIN                                          ";"impar";"NUM";"000001";"  ";"000999";"  ";"000044"
"00104600";"CALLE                   ";"DE    ";"BERLIN                                          ";"par  ";"NUM";"000002";"  ";"000998";"  ";"000044"
"00104800";"CALLE                   ";"DE    ";"BERMUDEZ CAÑETE                                 ";"impar";"NUM";"000001";"  ";"000999";"  ";"000055"
"00104800";"CALLE                   ";"DE    ";"BERMUDEZ CAÑETE                                 ";"par  ";"NUM";"000002";"  ";"000998";"  ";"000055"
"00104900";"CALLE                   ";"DE    ";"BERNA                                           ";"impar";"NUM";"000001";"  ";"000999";"  ";"000044"
"00104900";"CALLE                   ";"DE    ";"BERNA                                           ";"par  ";"NUM";"000002";"  ";"000998";"  ";"000044"
"00105200";"CALLE                   ";"DE    ";"BERNARDINO DE ANTEQUERA                         ";"impar";"NUM";"000001";"  ";"000999";"  ";"000125"
"00105200";"CALLE                   ";"DE    ";"BERNARDINO DE ANTEQUERA                         ";"par  ";"NUM";"000002";"  ";"000998";"  ";"000125"
"00105300";"CALLE                   ";"DE    ";"BERNARDINO OBREGON                              ";"impar";"NUM";"000001";"  ";"000999";"  ";"000026"
"00105300";"CALLE                   ";"DE    ";"BERNARDINO OBREGON                              ";"par  ";"NUM";"000002";"  ";"000998";"  ";"000026"
"00105400";"CALLE                   ";"DE    ";"BERNARDO LOPEZ GARCIA                           ";"impar";"NUM";"000001";"  ";"000999";"  ";"000015"
"00105400";"CALLE                   ";"DE    ";"BERNARDO LOPEZ GARCIA                           ";"par  ";"NUM";"000002";"  ";"000998";"  ";"000015"
"00105600";"CALLE                   ";"DE    ";"BERRUGUETE                                      ";"impar";"NUM";"000001";"  ";"000999";"  ";"000066"
"00105600";"CALLE                   ";"DE    ";"BERRUGUETE                                      ";"par  ";"NUM";"000002";"  ";"000998";"  ";"000066"
"00105700";"TRAVESIA                ";"DE    ";"BERRUGUETE                                      ";"impar";"NUM";"000001";"  ";"000999";"  ";"000066"
"00105700";"TRAVESIA                ";"DE    ";"BERRUGUETE                                      ";"par  ";"NUM";"000002";"  ";"000998";"  ";"000066"
"00106000";"CALLE                   ";"DE    ";"BETANIA                                         ";"impar";"NUM";"000001";"  ";"000999";"  ";"000031"
"00106000";"CALLE                   ";"DE    ";"BETANIA                                         ";"par  ";"NUM";"000002";"  ";"000998";"  ";"000031"
"00106100";"AVENIDA                 ";"DE    ";"BETANZOS                                        ";"impar";"NUM";"000001";"  ";"000999";"  ";"000084"
"00106100";"AVENIDA                 ";"DE    ";"BETANZOS                                        ";"par  ";"NUM";"000002";"  ";"000998";"  ";"000084"
"00106300";"CALLE                   ";"DE    ";"BIARRITZ                                        ";"impar";"NUM";"000001";"  ";"000999";"  ";"000044"
"00106300";"CALLE                   ";"DE    ";"BIARRITZ                                        ";"par  ";"NUM";"000002";"  ";"000998";"  ";"000044"
"00106400";"CALLE                   ";"DEL   ";"BIDASOA                                         ";"impar";"NUM";"000001";"  ";"000999";"  ";"000051"
"00106400";"CALLE                   ";"DEL   ";"BIDASOA                                         ";"par  ";"NUM";"000002";"  ";"000998";"  ";"000051"
"00106800";"GLORIETA                ";"DE    ";"BILBAO                                          ";"impar";"NUM";"000001";"  ";"000005";"  ";"000073"
"00106800";"GLORIETA                ";"DE    ";"BILBAO                                          ";"impar";"NUM";"000007";"  ";"000007";"  ";"000014"
"00106800";"GLORIETA                ";"DE    ";"BILBAO                                          ";"par  ";"NUM";"000002";"  ";"000006";"  ";"000073"
"00106900";"CALLE                   ";"DEL   ";"BIOMBO                                          ";"impar";"NUM";"000001";"  ";"000999";"  ";"000011"
"00106900";"CALLE                   ";"DEL   ";"BIOMBO                                          ";"par  ";"NUM";"000002";"  ";"000998";"  ";"000011"
"00107000";"PLAZA                   ";"DEL   ";"BIOMBO                                          ";"impar";"NUM";"000001";"  ";"000999";"  ";"000011"
"00107000";"PLAZA                   ";"DEL   ";"BIOMBO                                          ";"par  ";"NUM";"000002";"  ";"000998";"  ";"000011"
"00107100";"TRAVESIA                ";"DEL   ";"BIOMBO                                          ";"impar";"NUM";"000001";"  ";"000999";"  ";"000011"
"00107100";"TRAVESIA                ";"DEL   ";"BIOMBO                                          ";"par  ";"NUM";"000002";"  ";"000998";"  ";"000011"
"00107300";"CALLE                   ";"DE    ";"BIOTA                                           ";"impar";"NUM";"000001";"  ";"000999";"  ";"000066"
"00107300";"CALLE                   ";"DE    ";"BIOTA                                           ";"par  ";"NUM";"000002";"  ";"000998";"  ";"000066"
"00107400";"PASAJE                  ";"DE    ";"BISBAL                                          ";"impar";"NUM";"000001";"  ";"000999";"  ";"000043"
"00107400";"PASAJE                  ";"DE    ";"BISBAL                                          ";"par  ";"NUM";"000002";"  ";"000998";"  ";"000043"
"00108000";"CALLE                   ";"DE    ";"BLANCA DE NAVARRA                               ";"impar";"NUM";"000001";"  ";"000999";"  ";"000074"
"00108000";"CALLE                   ";"DE    ";"BLANCA DE NAVARRA                               ";"par  ";"NUM";"000002";"  ";"000998";"  ";"000074"
"00108600";"CALLE                   ";"DE    ";"BLASCO DE GARAY                                 ";"impar";"NUM";"000001";"  ";"000071";"  ";"000071"
"00108600";"CALLE                   ";"DE    ";"BLASCO DE GARAY                                 ";"impar";"NUM";"000073";"  ";"000999";"  ";"000076"
"00108600";"CALLE                   ";"DE    ";"BLASCO DE GARAY                                 ";"par  ";"NUM";"000002";"  ";"000092";"  ";"000072"
"00108600";"CALLE                   ";"DE    ";"BLASCO DE GARAY                                 ";"par  ";"NUM";"000094";"  ";"000998";"  ";"000076"
"00108650";"CALLEJON                ";"DE    ";"BLASCO DE GARAY                                 ";"impar";"NUM";"000001";"  ";"000999";"  ";"000072"
"00108650";"CALLEJON                ";"DE    ";"BLASCO DE GARAY                                 ";"par  ";"NUM";"000002";"  ";"000998";"  ";"000072"
"00109300";"CALLE                   ";"DE    ";"BOCANGEL                                        ";"impar";"NUM";"000001";"  ";"000999";"  ";"000043"
"00109300";"CALLE                   ";"DE    ";"BOCANGEL                                        ";"par  ";"NUM";"000002";"  ";"000998";"  ";"000043"
"00109400";"GLORIETA                ";"DE    ";"BOCCHERINI                                      ";"impar";"NUM";"000001";"  ";"000999";"  ";"000011"
"00109400";"GLORIETA                ";"DE    ";"BOCCHERINI                                      ";"par  ";"NUM";"000002";"  ";"000998";"  ";"000011"
"00110200";"CALLE                   ";"DE    ";"BOIX Y MORER                                    ";"impar";"NUM";"000001";"  ";"000999";"  ";"000076"
"00110200";"CALLE                   ";"DE    ";"BOIX Y MORER                                    ";"par  ";"NUM";"000002";"  ";"000998";"  ";"000076"
"00110400";"CALLE                   ";"DE LA ";"BOLA                                            ";"impar";"NUM";"000001";"  ";"000999";"  ";"000011"
"00110400";"CALLE                   ";"DE LA ";"BOLA                                            ";"par  ";"NUM";"000002";"  ";"000998";"  ";"000011"
"00110800";"CALLE                   ";"DE    ";"BOLIVAR                                         ";"impar";"NUM";"000001";"  ";"000999";"  ";"000025"
"00110800";"CALLE                   ";"DE    ";"BOLIVAR                                         ";"par  ";"NUM";"000002";"  ";"000998";"  ";"000024"
"00110900";"CALLE                   ";"DE    ";"BOLIVIA                                         ";"impar";"NUM";"000001";"  ";"000017";"  ";"000054"
"00110900";"CALLE                   ";"DE    ";"BOLIVIA                                         ";"impar";"NUM";"000019";"  ";"000999";"  ";"000055"
"00110900";"CALLE                   ";"DE    ";"BOLIVIA                                         ";"par  ";"NUM";"000002";"  ";"000030";"  ";"000054"
"00110900";"CALLE                   ";"DE    ";"BOLIVIA                                         ";"par  ";"NUM";"000032";"  ";"000998";"  ";"000055"
"00111000";"CALLE                   ";"DE    ";"BOLONIA                                         ";"impar";"NUM";"000001";"  ";"000999";"  ";"000044"
"00111000";"CALLE                   ";"DE    ";"BOLONIA                                         ";"par  ";"NUM";"000002";"  ";"000998";"  ";"000044"
"00111100";"CALLE                   ";"DE LA ";"BOLSA                                           ";"impar";"NUM";"000001";"  ";"000999";"  ";"000161"
"00111100";"CALLE                   ";"DE LA ";"BOLSA                                           ";"par  ";"NUM";"000002";"  ";"000998";"  ";"000161"
"00111700";"CALLE                   ";"DE LA ";"BONDAD                                          ";"impar";"NUM";"000001";"  ";"000999";"  ";"000044"
"00111700";"CALLE                   ";"DE LA ";"BONDAD                                          ";"par  ";"NUM";"000002";"  ";"000998";"  ";"000044"
"00111800";"CALLE                   ";"DEL   ";"BONETERO                                        ";"impar";"NUM";"000001";"  ";"000999";"  ";"000055"
"00111800";"CALLE                   ";"DEL   ";"BONETERO                                        ";"par  ";"NUM";"000002";"  ";"000998";"  ";"000055"
"00111900";"CALLE                   ";"DEL   ";"BONETILLO                                       ";"impar";"NUM";"000001";"  ";"000999";"  ";"000011"
"00111900";"CALLE                   ";"DEL   ";"BONETILLO                                       ";"par  ";"NUM";"000002";"  ";"000998";"  ";"000011"
"00112000";"AVENIDA                 ";"DE    ";"BONN                                            ";"impar";"NUM";"000001";"  ";"000999";"  ";"000044"
"00112000";"AVENIDA                 ";"DE    ";"BONN                                            ";"par  ";"NUM";"000002";"  ";"000998";"  ";"000044"
"00112100";"CALLE                   ";"DE LOS";"BORDADORES                                      ";"impar";"NUM";"000001";"  ";"000999";"  ";"000161"
"00112100";"CALLE                   ";"DE LOS";"BORDADORES                                      ";"par  ";"NUM";"000002";"  ";"000998";"  ";"000161"
"00113000";"CALLE                   ";"DEL   ";"BOSQUE                                          ";"impar";"NUM";"000001";"  ";"000999";"  ";"000055"
"00113000";"CALLE                   ";"DEL   ";"BOSQUE                                          ";"par  ";"NUM";"000002";"  ";"000998";"  ";"000055"
"00113200";"CALLE                   ";"DE    ";"BOSTON                                          ";"impar";"NUM";"000001";"  ";"000999";"  ";"000044"
"00113200";"CALLE                   ";"DE    ";"BOSTON                                          ";"par  ";"NUM";"000002";"  ";"000998";"  ";"000044"
"00113210";"PLAZA                   ";"DE    ";"BOSTON                                          ";"impar";"NUM";"000001";"  ";"000999";"  ";"000044"
"00113210";"PLAZA                   ";"DE    ";"BOSTON                                          ";"par  ";"NUM";"000002";"  ";"000998";"  ";"000044"
"00113230";"CALLE                   ";"DE LA ";"BOTANICA                                        ";"impar";"NUM";"000001";"  ";"000999";"  ";"000044"
"00113230";"CALLE                   ";"DE LA ";"BOTANICA                                        ";"par  ";"NUM";"000002";"  ";"000998";"  ";"000044"
"00113400";"CALLE                   ";"DEL   ";"BOTANICO MUTIS                                  ";"impar";"NUM";"000001";"  ";"000999";"  ";"000125"
"00113400";"CALLE                   ";"DEL   ";"BOTANICO MUTIS                                  ";"par  ";"NUM";"000002";"  ";"000998";"  ";"000125"
"00113600";"CALLE                   ";"DE LAS";"BOTONERAS                                       ";"impar";"NUM";"000001";"  ";"000999";"  ";"000161"
"00113600";"CALLE                   ";"DE LAS";"BOTONERAS                                       ";"par  ";"NUM";"000002";"  ";"000998";"  ";"000161"
"00114200";"AVENIDA                 ";"DE    ";"BRASIL                                          ";"impar";"NUM";"000001";"  ";"000013";"  ";"000062"
"00114200";"AVENIDA                 ";"DE    ";"BRASIL                                          ";"impar";"NUM";"000015";"  ";"000999";"  ";"000063"
"00114200";"AVENIDA                 ";"DE    ";"BRASIL                                          ";"par  ";"NUM";"000002";"  ";"000024";"  ";"000062"
"00114200";"AVENIDA                 ";"DE    ";"BRASIL                                          ";"par  ";"NUM";"000026";"  ";"000998";"  ";"000063"
"00114300";"AVENIDA                 ";"DE    ";"BRASILIA                                        ";"impar";"NUM";"000001";"  ";"000999";"  ";"000044"
"00114300";"AVENIDA                 ";"DE    ";"BRASILIA                                        ";"par  ";"NUM";"000002";"  ";"000998";"  ";"000044"
"00114600";"CALLE                   ";"DE    ";"BRAVO MURILLO                                   ";"impar";"NUM";"000001";"  ";"000047";"  ";"000072"
"00114600";"CALLE                   ";"DE    ";"BRAVO MURILLO                                   ";"impar";"NUM";"000049";"  ";"000099";"  ";"000076"
"00114600";"CALLE                   ";"DE    ";"BRAVO MURILLO                                   ";"impar";"NUM";"000101";"  ";"000189";"  ";"000061"
"00114600";"CALLE                   ";"DE    ";"BRAVO MURILLO                                   ";"impar";"NUM";"000191";"  ";"000287";"  ";"000066"
"00114600";"CALLE                   ";"DE    ";"BRAVO MURILLO                                   ";"impar";"NUM";"000289";"  ";"000353";"  ";"000065"
"00114600";"CALLE                   ";"DE    ";"BRAVO MURILLO                                   ";"impar";"NUM";"000355";"  ";"000999";"  ";"000064"
"00114600";"CALLE                   ";"DE    ";"BRAVO MURILLO                                   ";"par  ";"NUM";"000002";"  ";"000040";"  ";"000073"
"00114600";"CALLE                   ";"DE    ";"BRAVO MURILLO                                   ";"par  ";"NUM";"000042";"  ";"000094";"  ";"000075"
"00114600";"CALLE                   ";"DE    ";"BRAVO MURILLO                                   ";"par  ";"NUM";"000096";"  ";"000214";"  ";"000062"
"00114600";"CALLE                   ";"DE    ";"BRAVO MURILLO                                   ";"par  ";"NUM";"000216";"  ";"000998";"  ";"000063"
"00114700";"CALLE                   ";"DE    ";"BREMEN                                          ";"impar";"NUM";"000001";"  ";"000999";"  ";"000044"
"00114700";"CALLE                   ";"DE    ";"BREMEN                                          ";"par  ";"NUM";"000002";"  ";"000998";"  ";"000044"
"00114900";"CALLE                   ";"DE    ";"BRESCIA                                         ";"impar";"NUM";"000001";"  ";"000999";"  ";"000044"
"00114900";"CALLE                   ";"DE    ";"BRESCIA                                         ";"par  ";"NUM";"000002";"  ";"000998";"  ";"000044"
"00115000";"CALLE                   ";"DE    ";"BRETON DE LOS HERREROS                          ";"impar";"NUM";"000001";"  ";"000999";"  ";"000075"
"00115000";"CALLE                   ";"DE    ";"BRETON DE LOS HERREROS                          ";"par  ";"NUM";"000002";"  ";"000998";"  ";"000075"
"00115300";"TRAVESIA                ";"DE    ";"BRINGAS                                         ";"impar";"NUM";"000001";"  ";"000999";"  ";"000161"
"00115300";"TRAVESIA                ";"DE    ";"BRINGAS                                         ";"par  ";"NUM";"000002";"  ";"000998";"  ";"000161"
"00115500";"CALLE                   ";"DE LA ";"BRISA                                           ";"impar";"NUM";"000001";"  ";"000999";"  ";"000076"
"00115500";"CALLE                   ";"DE LA ";"BRISA                                           ";"par  ";"NUM";"000002";"  ";"000998";"  ";"000076"
"00115600";"CALLE                   ";"DE    ";"BRISTOL                                         ";"impar";"NUM";"000001";"  ";"000999";"  ";"000044"
"00115600";"CALLE                   ";"DE    ";"BRISTOL                                         ";"par  ";"NUM";"000002";"  ";"000998";"  ";"000044"
"00115900";"CALLE                   ";"DEL   ";"BRONCE                                          ";"impar";"NUM";"000001";" A";"000001";" B";"000025"
"00115900";"CALLE                   ";"DEL   ";"BRONCE                                          ";"impar";"NUM";"000001";" C";"000999";"  ";"000024"
"00115900";"CALLE                   ";"DEL   ";"BRONCE                                          ";"par  ";"NUM";"000002";"  ";"000998";"  ";"000024"
"00116200";"CALLE                   ";"DE    ";"BRUNO AYLLON                                    ";"impar";"NUM";"000001";"  ";"000999";"  ";"000062"
"00116200";"CALLE                   ";"DE    ";"BRUNO AYLLON                                    ";"par  ";"NUM";"000002";"  ";"000998";"  ";"000062"
"00116500";"AVENIDA                 ";"DE    ";"BRUSELAS                                        ";"impar";"NUM";"000001";"  ";"000999";"  ";"000044"
"00116500";"AVENIDA                 ";"DE    ";"BRUSELAS                                        ";"par  ";"NUM";"000002";"  ";"000998";"  ";"000044"
"00116500";"AVENIDA                 ";"DE    ";"BRUSELAS                                        ";"otros";"S/N";"000000";"  ";"000000";"  ";"000044"
"00116700";"CALLE                   ";"DEL   ";"BUEN GOBERNADOR                                 ";"impar";"NUM";"000001";"  ";"000023";"  ";"000153"
"00116700";"CALLE                   ";"DEL   ";"BUEN GOBERNADOR                                 ";"par  ";"NUM";"000002";"  ";"000028";"  ";"000153"
"00116900";"CALLE                   ";"DEL   ";"BUEN SUCESO                                     ";"impar";"NUM";"000001";"  ";"000999";"  ";"000092"
"00116900";"CALLE                   ";"DEL   ";"BUEN SUCESO                                     ";"par  ";"NUM";"000002";"  ";"000998";"  ";"000092"
"00117200";"CALLE                   ";"DE    ";"BUENAVISTA                                      ";"impar";"NUM";"000001";"  ";"000999";"  ";"000012"
"00117200";"CALLE                   ";"DE    ";"BUENAVISTA                                      ";"par  ";"NUM";"000002";"  ";"000998";"  ";"000012"
"00117600";"CALLE                   ";"DE    ";"BUESO PINEDA                                    ";"impar";"NUM";"000003";"  ";"000031";"  ";"000156"
"00117600";"CALLE                   ";"DE    ";"BUESO PINEDA                                    ";"par  ";"NUM";"000004";"  ";"000032";"  ";"000156"
"00118000";"CALLE                   ";"DE    ";"BUJALANCE                                       ";"impar";"NUM";"000001";"  ";"000999";"  ";"000102"
"00118000";"CALLE                   ";"DE    ";"BUJALANCE                                       ";"par  ";"NUM";"000002";"  ";"000998";"  ";"000102"
"00118300";"PLAZA                   ";"DE    ";"BURDEOS                                         ";"impar";"NUM";"000001";"  ";"000999";"  ";"000044"
"00118300";"PLAZA                   ";"DE    ";"BURDEOS                                         ";"par  ";"NUM";"000002";"  ";"000998";"  ";"000044"
"00118500";"CALLE                   ";"DE    ";"BURGOS                                          ";"impar";"NUM";"000001";"  ";"000999";"  ";"000066"
"00118500";"CALLE                   ";"DE    ";"BURGOS                                          ";"par  ";"NUM";"000002";"  ";"000998";"  ";"000066"
"00118600";"AVENIDA                 ";"DE    ";"BURGOS                                          ";"impar";"NUM";"000001";"  ";"000051";"  ";"000056"
"00118600";"AVENIDA                 ";"DE    ";"BURGOS                                          ";"par  ";"NUM";"000002";"  ";"000048";"  ";"000056"
"00119200";"CALLE                   ";"DE    ";"BUSTAMANTE                                      ";"impar";"NUM";"000001";"  ";"000999";"  ";"000026"
"00119200";"CALLE                   ";"DE    ";"BUSTAMANTE                                      ";"par  ";"NUM";"000002";"  ";"000998";"  ";"000025"
"00119300";"CALLE                   ";"DE    ";"BUSTARVIEJO                                     ";"impar";"NUM";"000001";"  ";"000999";"  ";"000063"
"00119300";"CALLE                   ";"DE    ";"BUSTARVIEJO                                     ";"par  ";"NUM";"000002";"  ";"000998";"  ";"000063"
"00119400";"CALLE                   ";"DE    ";"BUSTILLO DEL ORO                                ";"impar";"NUM";"000001";"  ";"000999";"  ";"000066"
"00119400";"CALLE                   ";"DE    ";"BUSTILLO DEL ORO                                ";"par  ";"NUM";"000002";"  ";"000998";"  ";"000066"
"00120100";"CALLE                   ";"DEL   ";"CABALLERO DE GRACIA                             ";"impar";"NUM";"000001";"  ";"000009";"  ";"000163"
"00120100";"CALLE                   ";"DEL   ";"CABALLERO DE GRACIA                             ";"impar";"NUM";"000011";"  ";"000999";"  ";"000013"
"00120100";"CALLE                   ";"DEL   ";"CABALLERO DE GRACIA                             ";"par  ";"NUM";"000002";"  ";"000024";"  ";"000163"
"00120100";"CALLE                   ";"DEL   ";"CABALLERO DE GRACIA                             ";"par  ";"NUM";"000026";"  ";"000998";"  ";"000013"
"00120500";"CALLE                   ";"DE    ";"CABELLO LAPIEDRA                                ";"impar";"NUM";"000001";"  ";"000013";"  ";"000102"
"00120500";"CALLE                   ";"DE    ";"CABELLO LAPIEDRA                                ";"par  ";"NUM";"000002";"  ";"000008";"  ";"000102"
"00120600";"CALLE                   ";"DE LOS";"CABESTREROS                                     ";"impar";"NUM";"000001";"  ";"000999";"  ";"000012"
"00120600";"CALLE                   ";"DE LOS";"CABESTREROS                                     ";"par  ";"NUM";"000002";"  ";"000998";"  ";"000012"
"00120700";"TRAVESIA                ";"DE LOS";"CABESTREROS                                     ";"impar";"NUM";"000001";"  ";"000999";"  ";"000012"
"00120700";"TRAVESIA                ";"DE LOS";"CABESTREROS                                     ";"par  ";"NUM";"000002";"  ";"000998";"  ";"000012"
"00120800";"CALLE                   ";"DE LA ";"CABEZA                                          ";"impar";"NUM";"000001";"  ";"000999";"  ";"000012"
"00120800";"CALLE                   ";"DE LA ";"CABEZA                                          ";"par  ";"NUM";"000002";"  ";"000998";"  ";"000012"
"00120900";"CALLE                   ";"DE    ";"CABEZA GRANDE                                   ";"impar";"NUM";"000001";"  ";"000999";"  ";"000053"
"00120900";"CALLE                   ";"DE    ";"CABEZA GRANDE                                   ";"par  ";"NUM";"000002";"  ";"000998";"  ";"000053"
"00121300";"CALLE                   ";"DE    ";"CABEZA REINA                                    ";"impar";"NUM";"000001";"  ";"000999";"  ";"000053"
"00121300";"CALLE                   ";"DE    ";"CABEZA REINA                                    ";"par  ";"NUM";"000002";"  ";"000998";"  ";"000053"
"00122700";"CALLE                   ";"DE    ";"CACERES                                         ";"impar";"NUM";"000001";"  ";"000033";"  ";"000025"
"00122700";"CALLE                   ";"DE    ";"CACERES                                         ";"impar";"NUM";"000035";"  ";"000055";"  ";"000023"
"00122700";"CALLE                   ";"DE    ";"CACERES                                         ";"par  ";"NUM";"000002";"  ";"000032";"  ";"000025"
"00122700";"CALLE                   ";"DE    ";"CACERES                                         ";"par  ";"NUM";"000034";"  ";"000054";"  ";"000023"
"00122705";"CALLE                   ";"DEL   ";"CACTUS                                          ";"impar";"NUM";"000001";"  ";"000021";"  ";"000066"
"00122705";"CALLE                   ";"DEL   ";"CACTUS                                          ";"impar";"NUM";"000023";"  ";"000999";"  ";"000065"
"00122705";"CALLE                   ";"DEL   ";"CACTUS                                          ";"par  ";"NUM";"000002";"  ";"000022";"  ";"000066"
"00122705";"CALLE                   ";"DEL   ";"CACTUS                                          ";"par  ";"NUM";"000024";"  ";"000998";"  ";"000065"
"00123100";"CALLE                   ";"DE    ";"CADARSO                                         ";"impar";"NUM";"000001";"  ";"000999";"  ";"000092"
"00123100";"CALLE                   ";"DE    ";"CADARSO                                         ";"par  ";"NUM";"000002";"  ";"000998";"  ";"000092"
"00123300";"CALLE                   ";"DE    ";"CADIZ                                           ";"impar";"NUM";"000001";"  ";"000999";"  ";"000163"
"00123300";"CALLE                   ";"DE    ";"CADIZ                                           ";"par  ";"NUM";"000002";"  ";"000998";"  ";"000163"
"00123400";"CALLE                   ";"DEL   ";"CAFETO                                          ";"impar";"NUM";"000001";"  ";"000999";"  ";"000032"
"00123400";"CALLE                   ";"DEL   ";"CAFETO                                          ";"par  ";"NUM";"000002";"  ";"000998";"  ";"000032"
"00123600";"CALLE                   ";"DE LOS";"CAIDOS DE LA DIVISION AZUL                      ";"impar";"NUM";"000001";"  ";"000999";"  ";"000056"
"00123600";"CALLE                   ";"DE LOS";"CAIDOS DE LA DIVISION AZUL                      ";"par  ";"NUM";"000002";"  ";"000998";"  ";"000055"
"00123700";"PASAJE                  ";"DE LA ";"CAJA DE AHORROS                                 ";"impar";"NUM";"000001";"  ";"000999";"  ";"000163"
"00123700";"PASAJE                  ";"DE LA ";"CAJA DE AHORROS                                 ";"par  ";"NUM";"000002";"  ";"000998";"  ";"000163"
"00124300";"CALLE                   ";"DE LAS";"CALAS                                           ";"impar";"NUM";"000001";"  ";"000999";"  ";"000054"
"00124300";"CALLE                   ";"DE LAS";"CALAS                                           ";"par  ";"NUM";"000002";"  ";"000998";"  ";"000054"
"00124500";"CALLE                   ";"DE    ";"CALATAYUD                                       ";"par  ";"NUM";"000006";"  ";"000008";"  ";"000102"
"00124600";"CALLE                   ";"DE    ";"CALATRAVA                                       ";"impar";"NUM";"000001";"  ";"000999";"  ";"000011"
"00124600";"CALLE                   ";"DE    ";"CALATRAVA                                       ";"par  ";"NUM";"000002";"  ";"000998";"  ";"000011"
"00124700";"CALLE                   ";"DE LA ";"CALCOGRAFIA                                     ";"impar";"NUM";"000001";"  ";"000999";"  ";"000033"
"00124700";"CALLE                   ";"DE LA ";"CALCOGRAFIA                                     ";"par  ";"NUM";"000002";"  ";"000998";"  ";"000033"
"00125100";"CALLE                   ";"DE    ";"CALDERON DE LA BARCA                            ";"impar";"NUM";"000001";"  ";"000999";"  ";"000011"
"00125100";"CALLE                   ";"DE    ";"CALDERON DE LA BARCA                            ";"par  ";"NUM";"000002";"  ";"000998";"  ";"000011"
"00125200";"CALLE                   ";"DE LAS";"CALERAS                                         ";"impar";"NUM";"000001";"  ";"000999";"  ";"000051"
"00125200";"CALLE                   ";"DE LAS";"CALERAS                                         ";"par  ";"NUM";"000002";"  ";"000998";"  ";"000051"
"00125500";"CALLE                   ";"DE LAS";"CALESAS                                         ";"impar";"NUM";"000001";"  ";"000999";"  ";"000125"
"00125500";"CALLE                   ";"DE LAS";"CALESAS                                         ";"par  ";"NUM";"000002";"  ";"000998";"  ";"000125"
"00125600";"PLAZA                   ";"DEL   ";"CALICANTO                                       ";"impar";"NUM";"000001";"  ";"000999";"  ";"000065"
"00125600";"PLAZA                   ";"DEL   ";"CALICANTO                                       ";"par  ";"NUM";"000002";"  ";"000998";"  ";"000065"
"00125700";"CALLE                   ";"DE    ";"CALIDON                                         ";"impar";"NUM";"000001";"  ";"000007";"  ";"000156"
"00125900";"PLAZA                   ";"DEL   ";"CALLAO                                          ";"impar";"NUM";"000001";"  ";"000001";"  ";"000161"
"00125900";"PLAZA                   ";"DEL   ";"CALLAO                                          ";"impar";"NUM";"000003";"  ";"000005";"  ";"000163"
"00125900";"PLAZA                   ";"DEL   ";"CALLAO                                          ";"par  ";"NUM";"000002";"  ";"000002";"  ";"000161"
"00125900";"PLAZA                   ";"DEL   ";"CALLAO                                          ";"par  ";"NUM";"000004";"  ";"000004";"  ";"000163"
"00126300";"CALLE                   ";"DEL   ";"CALVARIO                                        ";"impar";"NUM";"000001";"  ";"000999";"  ";"000012"
"00126300";"CALLE                   ";"DEL   ";"CALVARIO                                        ";"par  ";"NUM";"000002";"  ";"000998";"  ";"000012"
