"Codigo de via";"Clase de la via";"Particula de la via";"Nombre de la via";"Tipo de tramo ";"Nombre de la aproximacion";"Numero inicial del tramo";"Calificador del numero inicial del tramo";"Numero final del tramo";"Calificador del numero final del tramo";"Zona S E R  del tramo"
"00000754";"CALLE                   ";"DEL   ";"CANAL DE PANAMA                                 ";"par  ";"NUM";"000002";"  ";"000020";"  ";"000155"
"00000755";"CALLE                   ";"DEL   ";"CANAL DE MOZAMBIQUE                             ";"impar";"NUM";"000001";"  ";"000007";"  ";"000155"
"00000755";"CALLE                   ";"DEL   ";"CANAL DE MOZAMBIQUE                             ";"par  ";"NUM";"000002";"  ";"000012";"  ";"000155"
"00000756";"CALLE                   ";"DE    ";"PABLO SANCHEZ                                   ";"impar";"NUM";"000001";"  ";"000013";"  ";"000155"
"00000756";"CALLE                   ";"DE    ";"PABLO SANCHEZ                                   ";"par  ";"NUM";"000002";"  ";"000012";"  ";"000155"
"00000781";"PLAZA                   ";"DE    ";"RODOLFO Y ERNESTO HALFFTER                      ";"impar";"NUM";"000001";"  ";"000999";"  ";"000053"
"00000781";"PLAZA                   ";"DE    ";"RODOLFO Y ERNESTO HALFFTER                      ";"par  ";"NUM";"000002";"  ";"000998";"  ";"000053"
"00000787";"CALLE                   ";"DE    ";"JOSE BARDASANO BAOS                             ";"impar";"NUM";"000001";"  ";"000999";"  ";"000056"
"00000787";"CALLE                   ";"DE    ";"JOSE BARDASANO BAOS                             ";"par  ";"NUM";"000002";"  ";"000998";"  ";"000056"
"00000800";"CALLE                   ";"DE    ";"ABANTOS                                         ";"impar";"NUM";"000001";"  ";"000999";"  ";"000053"
"00000800";"CALLE                   ";"DE    ";"ABANTOS                                         ";"par  ";"NUM";"000002";"  ";"000998";"  ";"000053"
"00000827";"CALLE                   ";"DE    ";"PATONES                                         ";"impar";"NUM";"000001";"  ";"000999";"  ";"000085"
"00000827";"CALLE                   ";"DE    ";"PATONES                                         ";"par  ";"NUM";"000002";"  ";"000998";"  ";"000085"
"00000830";"PASAJE                  ";"DE    ";"SANTA FELICIDAD                                 ";"impar";"NUM";"000001";"  ";"000009";"  ";"000151"
"00000830";"PASAJE                  ";"DE    ";"SANTA FELICIDAD                                 ";"par  ";"NUM";"000002";"  ";"000028";"  ";"000151"
