"name";"address";"category";lon;lat;"status";temperature;rotationbegin;rotationend;rotationduration;"signal_status";datenosignal
"PS_VR-PMR_2LCArrietaN11bis";"2L C. Arrieta Nº 11bis";"forDisabled";-1.639854;42.81464;"occupied";22;2026-08-11 10:31:22.573;;;"commsfail";2026-08-18 05:41:00.433
"PS_VR-PMR_2LCLeyreN5{Soloes1plaza}";"2L C. Leyre Nº 5 {Solo es 1 plaza}";"forDisabled";-1.638774;42.814302;"occupied";23;2026-08-13 19:17:37.508;;;"on";
"PS_VR-PMR_2BCAralarfrenteN3";"2B C. Aralar frente Nº 3";"forDisabled";-1.637507;42.815364;"occupied";23;2026-08-08 08:46:45.43;;;"on";2026-01-27 20:13:21.448
"PS_VR-PMR_2BCAralarfrenteN3";"2B C. Aralar frente Nº 3";"forDisabled";-1.637539;42.815389;"occupied";24;;;;"on";2026-01-27 20:13:21.448
"PS_VR-PMR_1BCSanFermínfrenteN6";"1B C. San Fermín frente Nº 6";"forDisabled";-1.636546;42.813645;"occupied";32;2026-08-17 23:41:22.18;;;"on";
"PS_VR-PMR_1LCMediaLunatraseraColegiodeMédicos";"1L C. Media Luna trasera Colegio de Médicos";"forDisabled";-1.632896;42.814379;"occupied";52;2025-12-15 20:48:50.778;;;"on";
"PS_VR-PMR_5BCMonteMonjardínfrenteSeminario";"5B C. Monte Monjardín frente Seminario";"forDisabled";-1.628245;42.811873;"free";51;2026-08-13 00:39:47.654;2026-08-13 12:39:19.521;43171.867;"on";
"PS_VR-PMR_5BCMonteMonjardínfrenteSeminario";"5B C. Monte Monjardín frente Seminario";"forDisabled";-1.628219;42.811895;"free";51;2026-08-17 13:03:16.695;2026-08-18 01:02:48.543;43171.849;"on";
"PS_VR-PMR_5BCMonteMonjardínfrenteSeminario";"5B C. Monte Monjardín frente Seminario";"forDisabled";-1.628193;42.811918;"occupied";51;2026-08-18 00:51:55.085;;;"on";
"PS_VR-PMR_5BCMonteMonjardínfrenteSeminario";"5B C. Monte Monjardín frente Seminario";"forDisabled";-1.628165;42.811939;"free";52;2026-08-17 00:36:20.402;2026-08-17 12:36:05.677;43185.275;"on";
"PS_VR-PMR_5BCMonteMonjardínfrenteSeminario";"5B C. Monte Monjardín frente Seminario";"forDisabled";-1.62814;42.81196;"occupied";28;2026-08-14 12:48:55.034;;;"on";
"PS_VR-PMR_1BCValledeEgües(ColegioSdoCorazón)";"1B C. Valle de Egües (Colegio Sdo. Corazón)";"forDisabled";-1.629456;42.811942;"free";29;2026-08-17 22:16:27.641;2026-08-17 22:16:31.012;3.371;"on";
"PS_VR-PMR_1LCRoncalN10";"1L C. Roncal Nº 10";"forDisabled";-1.630975;42.812459;"free";44;2026-08-17 12:24:59.126;2026-08-17 22:05:27.922;34828.796;"on";2026-01-27 18:13:21.335
"PS_VR-PMR_1LCMedialunaN36";"1L C. Media luna Nº 36";"forDisabled";-1.63106;42.811043;"occupied";25;2026-08-15 18:35:46.578;;;"on";
"PS_VR-PMR_2BCMonteMonjardínN2";"2B C. Monte Monjardín Nº 2";"forDisabled";-1.630968;42.809837;"occupied";48;2026-08-17 22:47:04.629;;;"on";
"PS_VR-PMR_2BCMonteMonjardínN2";"2B C. Monte Monjardín Nº 2";"forDisabled";-1.63099;42.809817;"free";49;2026-08-14 22:34:20.846;2026-08-15 10:34:05.046;43184.2;"on";2026-01-27 22:13:21.449
"PS_VR-PMR_1LCAralarN42";"1L C. Aralar Nº 42";"forDisabled";-1.632568;42.810933;"occupied";40;2026-08-12 07:50:24.075;;;"on";2026-01-27 20:13:21.448
"PS_VR-PMR_1LCPascualMadozfrenteN9";"1L C. Pascual Madoz frente Nº 9";"forDisabled";-1.632562;42.811095;"occupied";39;2026-08-17 23:24:18.847;;;"on";2026-01-27 20:13:21.448
"PS_VR-PMR_2BCIturraldeySuitN14";"2B C. Iturralde y Suit Nº 14";"forDisabled";-1.632935;42.811855;"free";26;2026-08-17 21:58:37.935;2026-08-17 21:58:41.117;3.182;"on";2026-01-27 14:48:59.827
"PS_VR-PMR_2BCIturraldeySuitN14";"2B C. Iturralde y Suit Nº 14";"forDisabled";-1.6329;42.811878;"occupied";25;2026-08-16 21:35:52.674;;;"on";
"PS_VR-PMR_1BCAralarN24";"1B C. Aralar Nº 24";"forDisabled";-1.634042;42.81225;"free";44;2026-08-17 21:12:54.854;2026-08-17 21:12:58.029;3.176;"on";
"PS_VR-PMR_1LCCastillodeMayaN26";"1L C. Castillo de Maya Nº 26";"forDisabled";-1.634298;42.812052;"occupied";23;2026-08-18 06:49:43.814;;;"on";
"PS_VR-PMR_2LCAralarN19";"2L C. Aralar Nº 19";"forDisabled";-1.634454;42.81273;"free";37;2026-08-17 04:51:48.029;2026-08-17 04:52:03.818;15.789;"on";2026-08-09 19:40:59.816
"PS_VR-PMR_2LCAralarN19";"2L C. Aralar Nº 19";"forDisabled";-1.634413;42.812692;"free";27;2026-08-17 21:25:47.729;;;"on";
