ID_HORARI,CODI_HORARI,DESCRIPCIO,DESC_CURTA,INCLUS_FESTIUS,PARQUING_SOLS_DINS_HORARI
85,"H29","de Dl a Dg de 09:00 a 20:00 - inclòs festius","de Dl a Dg 9-20 inclòs festius",1,0
86,"Z44","de Dl a Dg  de 00:00 a 24:00, inclòs festius","de Dl a Dg 0-24 inclòs festius",1,0
87,"H30","de Dl a Dv  de 14:00 a 20:00","de Dl a Dv 14-20",0,0
88,"H19","de Dl a Dg  de 08:00 a 19:00, inclòs festius","de Dl a Dg 8-19 inclòs festius",1,0
89,"Z45","de Dl a Ds  de 07:00 a 14:00","de Dl a Ds 07-14",0,0
90,"Z46","de Dl a Dv  de 09:00 a 13:00","de Dl a Dv 09-13",0,1
91,"Z47","de Dl a Dv  de 09:30 a 16:00","de Dl a Dv 09:30-16",0,1
92,"Z48","de Dl a Dv  de 09:30 a 16:30","de Dl a Dv 09:30-16:30",0,1
93,"H5M","de Dl a Dv  de 13:00 a 20:00 Exclusiu resident fora  horari DUM","de Dl a Dv 13-20, excl. res. fora h DUM",0,0
94,"Z49","de Dl a Ds  de 09:00 a 13:00","de Dl a Ds 9-13",0,1
95,"H5X","de Dl a Dv  de 08:00 a 20:00 exclusiu resident de 0 a 24","de Dl a Dv 8-20 excl. res. de 0 a 24",0,0
96,"H5D","exclusiu resident fora horari DUM","excl. res. fora h. DUM",0,0
97,"H16","de Dl a Dg de 08:00 a 15:00 - inclòs festius","de Dl a Dg 8-15",1,0
101,"Z50","de Dl a Dv  de 09:30 a 20:00","de Dl a Dv 09:30-20:00",0,1
102,"Z51","de Dl a Dv  de 17:00 a 20:00, Ds 08:00 a 14:00","de Dl a Dv 17:00-20:00 Ds 08-14",0,1
103,"Z52","de Dl a Ds  de 09:30 a 12:30","de Dl a Ds 09:30-12:30",0,1
104,"H5F","de Dl a Dv de 08:00 a 09:30 i de 12:30 a 20:00 excl. resident fora h DUM, 0-24","de Dl a Dv excl. res. fora h DUM, 0-24",0,0
105,"Z53","de Dl a Ds  de 10:00 a 17:00","de Dl a Ds 10:00-17:00",1,0
107,"Z54","de Dl a Dv  de 10:00 a 15:000","de Dl a Dv 10-15",0,1
108,"Z55","de Dl a Dv  de 10:00 a 16:000","de Dl a Dv 10-16",0,1
109,"Z56","de Dl a Dv  de 10:00 a 17:000","de Dl a Dv 10-17",0,1
110,"Z57","de Dl a Ds  de 07:00 a 11:00 i de 14:00 a 16:30","de Dl a Ds 7-11 i 14-16:30",0,1
111,"Z58","de Dl a Ds de 09:00 a 12:00","de Dl a Ds 9-12",0,1
112,"Z59","de Dl a Dv  de 08:00 a 12:00 i de 14:00 a 16:00","de Dl a Dv 8-12 i 14-16",0,1
113,"Z60","de Dl a Dv de 08:00 a 20:00, Ds de 08:00 a 16:00","de Dl a Dv 8-20 Ds 8-16",0,1
114,"Z61","de Dl a Ds de 08:00 a 12:00 i de 14:00 a 16:00","de Dl a Ds 8-12 i de 14-16",0,1
115,"Z62","de Dl a Ds de 08:00 a 12:00 i de 14:00 a 16:00","de Dl a Ds 8-12 i de 14-16",0,0
116,"H5G","de Dl a Dv de 12:00 a 14:00 i de 16:00 a 20:00 excl. resident fora h DUM, 0-24","de Dl a Dv excl. res. fora h DUM, 0-24",0,0
117,"Z63","de Dl a Dv de 07:00 a 21:00, Ds de 08:00 a 14:00","de Dl a Dv 7-21 Ds 8-14",0,0
118,"Z64","de Dl a Dv de 10:00 a 15:00 i de 18:00 a 20:00","de Dl a Dv 10-15 i de 18-20",0,0
119,"Z65","de Dl a Dv de 07:00 a 15:00, Ds de 07:00 a 11:00","de Dl a Dv 7-15 Ds 7-11",0,1
120,"Z66","de Dl a Dv de 18:00 a 20:00","de Dl a Dv 18-20",0,0
9999,"FUT","de Dl a Dv  de 09:30 a 13:00","de Dl a Dv  de 09:30 a 13:00",0,0
99999888,"H99","de Dl a Dv  de 14:00 a 20:00","de Dl a Dv  de 14-20",0,1
99999999,"Z99","de Dl a Dv  de 08:00 a 14:00","de Dl a Dv  de 8-14",0,1
