titulo,descripcion,comunidad_autonoma,provincia,municipio,publicador_codigo,publicador_nombre,identificador,url_catalogo,formatos,urls_descarga,licencia,fecha_modificacion
Aparcamientos ligados al transporte público,"La Comunidad de Madrid dispone de una amplia red de aparcamientos ligados a intercambiadores y estaciones de transporte público, tanto ferroviarias (Metro y Cercanías) como de autobuses, para favorecer la movilidad intermodal.",Comunidad de Madrid,,,A13002908,Comunidad de Madrid,https://datos.comunidad.madrid/catalogo/dataset/aparcamientos_ligados_transporte_publico,https://datos.gob.es/catalogo/a13002908-aparcamientos-ligados-al-transporte-publico,HTML,https://crtm.maps.arcgis.com/apps/instant/sidebar/index.html?appid=11c77bb894f34b04bc313ef68bbd8c64,,"mar, 30 jun 2026 06:05:07 GMT+0000"
reB: Red de estacionamiento de bicicletas,"Ubicaciones de estacionamientos para bicicletas en estaciones de Metro y Cercanías y en marquesinas o estaciones de autobús interurbano de municipios de la Comunidad.rrPor cuestiones técnicas, la fecha de última actualización de los datos no se refresca automáticamente, sino que se especifica en la ",Comunidad de Madrid,,,A13002908,Comunidad de Madrid,https://datos.comunidad.madrid/catalogo/dataset/red_estacionamiento_bicicletas,https://datos.gob.es/catalogo/a13002908-reb-red-de-estacionamiento-de-bicicletas1,HTML,https://datos.crtm.es/datasets/reb,,"vie, 05 sep 2025 10:42:13 GMT+0000"
Estacionamientos para patinetes y bicicletas eléctricos,Ayuntamiento de Alcobendas: acionamientos para patienetes eléctricos,Comunidad de Madrid,Madrid,Alcobendas,L01280066,Ayuntamiento de Alcobendas,https://datos.alcobendas.org/dataset/estacionamientos-para-patinetes-electricos,https://datos.gob.es/catalogo/l01280066-estacionamientos-para-patinetes-y-bicicletas-electricos,JSON,http://ingrid.ingra.es/bases/alcobendascomun/exportaciones/mobap.geojson,,"mié, 08 jun 2022 22:00:00 GMT+0000"
Reservas de estacionamiento para personas con movilidad reducida,Reservas de estacionamiento,Comunidad de Madrid,Madrid,Alcobendas,L01280066,Ayuntamiento de Alcobendas,https://datos.alcobendas.org/dataset/reservas-de-estacionamiento,https://datos.gob.es/catalogo/l01280066-reservas-de-estacionamiento-para-personas-con-movilidad-reducida,JSON | CSV | JSON | application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,https://datos.alcobendas.org/dataset/e08d71e0-50af-48df-92f4-4b35401a69e1/resource/079d5397-64f0-406e-ae73-b2da01cc7f6f/download/trafm.geojson | https://datos.alcobendas.org/dataset/e08d71e0-50af-48df-92f4-4b35401a69e1/resource/6fa6e96d-089c-4cf5-bae9-9ff39adc9607/download/trafm.csv | http://ingrid.ingra.es/bases/alcobendascomun/exportaciones/trafm.geojson | https://datos.alcobendas.org/dataset/e08d71e0-50af-48df-92f4-4b35401a69e1/resource/48287d85-2e3f-48b2-946d-6c5d645f147e/download/reservas-de-espacio-para-personas-con-movilidad-reducida.xlsx,,"mar, 21 nov 2023 23:00:00 GMT+0000"
Parquímetros zonas reguladas,Parquímetros Zonas reguladas,Comunidad de Madrid,Madrid,Arganda del Rey,L01280148,Ayuntamiento de Arganda del Rey,https://datosabiertos.ayto-arganda.es/dataset/parquimetros-zonas-reguladas,https://datos.gob.es/catalogo/l01280148-parquimetros-zonas-reguladas,JSON | VND.GOOGLE-EARTH.KML+XML | JSON,https://datosabiertos.ayto-arganda.es/dataset/d6f911c3-8696-4378-822e-bf59d112b441/resource/a84a740f-7390-4d08-bcd4-f42fa15042a0/download/parquimetros-2.json | https://datosabiertos.ayto-arganda.es/dataset/d6f911c3-8696-4378-822e-bf59d112b441/resource/b82f1318-2859-41b4-9e52-2f1b7d8497d7/download/parquimetros-2.kml | https://datosabiertos.ayto-arganda.es/dataset/d6f911c3-8696-4378-822e-bf59d112b441/resource/ef7f1203-dab5-4af1-93a7-0906b162aa7c/download/parquimetros-geo.json,,"lun, 23 abr 2018 22:00:00 GMT+0000"
Plazas de estacionamiento para personas con movilidad reducida,Plazas de estacionamiento para personas con movilidad reducida,Comunidad de Madrid,Madrid,Arganda del Rey,L01280148,Ayuntamiento de Arganda del Rey,https://datosabiertos.ayto-arganda.es/dataset/plazas-de-estacionamiento-para-personas-con-movilidad-reducida,https://datos.gob.es/catalogo/l01280148-plazas-de-estacionamiento-para-personas-con-movilidad-reducida1,CSV | JSON | JSON,https://datosabiertos.ayto-arganda.es/dataset/360de69a-8181-4872-ad7e-9ffe162d2a76/resource/ed040a9a-1f7d-4900-93cd-09168576495c/download/estacionamiento_personas_movilidad_reducida.csv | https://datosabiertos.ayto-arganda.es/dataset/360de69a-8181-4872-ad7e-9ffe162d2a76/resource/166180d0-e07a-41d0-aa01-66835aebccc0/download/estacionamiento_personas_movilidad_reducida.geojson | https://datosabiertos.ayto-arganda.es/dataset/360de69a-8181-4872-ad7e-9ffe162d2a76/resource/3f8e1179-b718-4c6a-9ee0-d5fc768e02b4/download/estacionamiento_personas_movilidad_reducida.json,,"jue, 23 oct 2025 22:00:00 GMT+0000"
Aparcamientos municipales para residentes (PAR),"**“IMPORTANTE: Para cualquier consulta relacionada con su solicitud o aclaraciones sobre gestiones o trámites sobre las listas de espera de Aparcamientos municipales para residentes, debe dirigirse a la [Subdirección General de Gestión de Aparcamientos](https://eur06.safelinks.protection.outlook.com",Comunidad de Madrid,Madrid,Madrid,L01280796,Ayuntamiento de Madrid,https://datos.madrid.es/dataset/202584-0-aparcamientos-residentes,https://datos.gob.es/catalogo/l01280796-aparcamientos-municipales-para-residentes-par,PDF | RDF_XML | CSV | RSS | JSON | XML,https://datos.madrid.es/dataset/202584-0-aparcamientos-residentes/resource/202584-3-aparcamientos-residentes/download/estructura_ds_conjuntodatos.pdf | https://datos.madrid.es/dataset/202584-0-aparcamientos-residentes/resource/202584-5-aparcamientos-residentes-rdf/download/202584-0-aparcamientos-residentes.rdf | https://datos.madrid.es/dataset/202584-0-aparcamientos-residentes/resource/202584-1-aparcamientos-residentes-csv/download/202584-0-aparcamientos-residentes.csv | https://datos.madrid.es/dataset/202584-0-aparcamientos-residentes/resource/202584-0-aparcamientos-residentes-geo/download/202584-0-aparcamientos-residentes.geo | https://datos.madrid.es/dataset/202584-0-aparcamientos-residentes/resource/202584-4-aparcamientos-residentes-json/download/202584-0-aparcamientos-residentes.json | https://datos.madrid.es/dataset/202584-0-aparcamientos-residentes/resource/202584-2-aparcamientos-residentes-xml/download/202584-0-aparcamientos-residentes.xml,https://datos.madrid.es/bnode/N9cdfd5c81b99467ca973ce5830934944,"vie, 31 jul 2026 18:41:43 GMT+0000"
Aparcamientos municipales para residentes (PAR). Listas de espera,"**“IMPORTANTE: Para cualquier consulta relacionada con su solicitud o aclaraciones sobre gestiones o trámites sobre las listas de espera de Aparcamientos municipales para residentes, debe dirigirse a la [Subdirección General de Gestión de Aparcamientos](https://eur06.safelinks.protection.outlook.com",Comunidad de Madrid,Madrid,Madrid,L01280796,Ayuntamiento de Madrid,https://datos.madrid.es/dataset/300074-0-lista-espera-aparcamientos-resid,https://datos.gob.es/catalogo/l01280796-aparcamientos-municipales-para-residentes-par-listas-de-espera,CSV | XLSX | PDF,https://datos.madrid.es/dataset/300074-0-lista-espera-aparcamientos-resid/resource/300074-1-lista-espera-aparcamientos-resid-csv/download/lista-de-espera-07-julio-2026-publicada.csv | https://datos.madrid.es/dataset/300074-0-lista-espera-aparcamientos-resid/resource/300074-0-lista-espera-aparcamientos-resid-xlsx/download/lista-de-espera-07-julio-2026-publicada.xlsx | https://datos.madrid.es/dataset/300074-0-lista-espera-aparcamientos-resid/resource/300074-2-lista-espera-aparcamientos-resid/download/estructura_ds_listasaparcamientospar.pdf,https://datos.madrid.es/bnode/N1d021666e4c549f795f7eaa1e558c2cc,"vie, 24 jul 2026 00:00:00 GMT+0000"
Aparcamientos municipales para residentes (PAR). Valor de las plazas,"**“IMPORTANTE: Para cualquier consulta relacionada con su solicitud o aclaraciones sobre gestiones o trámites sobre las listas de espera de Aparcamientos municipales para residentes, debe dirigirse a la [Subdirección General de Gestión de Aparcamientos](https://eur06.safelinks.protection.outlook.com",Comunidad de Madrid,Madrid,Madrid,L01280796,Ayuntamiento de Madrid,https://datos.madrid.es/dataset/300532-0-par-valor-plazas,https://datos.gob.es/catalogo/l01280796-aparcamientos-municipales-para-residentes-par-valor-de-las-plazas1,XLSX | PDF | XLSX | XLSX | XLSX | XLSX | XLSX,https://datos.madrid.es/dataset/300532-0-par-valor-plazas/resource/300532-4-par-valor-plazas-xlsx/download/300532-4-par-valor-plazas-xlsx.xlsx | https://datos.madrid.es/dataset/300532-0-par-valor-plazas/resource/300532-5-par-valor-plazas/download/estructura_aparcamientos20municipales_valor20de20las20plazas.pdf | https://datos.madrid.es/dataset/300532-0-par-valor-plazas/resource/300532-2-par-valor-plazas-xlsx/download/300532-2-par-valor-plazas-xlsx.xlsx | https://datos.madrid.es/dataset/300532-0-par-valor-plazas/resource/300532-6-par-valor-plazas-xlsx/download/valor_plazas_07_2026.xlsx | https://datos.madrid.es/dataset/300532-0-par-valor-plazas/resource/300532-3-par-valor-plazas-xlsx/download/300532-3-par-valor-plazas-xlsx.xlsx | https://datos.madrid.es/dataset/300532-0-par-valor-plazas/resource/300532-0-par-valor-plazas-xlsx/download/300532-0-par-valor-plazas-xlsx.xlsx | https://datos.madrid.es/dataset/300532-0-par-valor-plazas/resource/300532-1-par-valor-plazas-xlsx/download/300532-1-par-valor-plazas-xlsx.xlsx,https://datos.madrid.es/bnode/N316ea946d5444e69952892ea49446307,"vie, 24 jul 2026 00:00:00 GMT+0000"
Aparcamientos municipales para residentes. Áreas de influencia,"**“IMPORTANTE: Para cualquier consulta relacionada con su solicitud o aclaraciones sobre gestiones o trámites sobre las listas de espera de Aparcamientos municipales para residentes, debe dirigirse a la [Subdirección General de Gestión de Aparcamientos](https://eur06.safelinks.protection.outlook.com",Comunidad de Madrid,Madrid,Madrid,L01280796,Ayuntamiento de Madrid,https://datos.madrid.es/dataset/300574-0-aparcamiento-influencia,https://datos.gob.es/catalogo/l01280796-aparcamientos-municipales-para-residentes-areas-de-influencia1,PDF | CSV | ZIP | XLSX | PDF | ZIP | CSV | ZIP | PDF | XLSX,https://datos.madrid.es/dataset/300574-0-aparcamiento-influencia/resource/300574-6-aparcamiento-influencia/download/areas20de20influencia20par_listado.pdf | https://datos.madrid.es/dataset/300574-0-aparcamiento-influencia/resource/300574-0-aparcamiento-influencia-csv/download/300574-0-aparcamiento-influencia-csv.csv | https://datos.madrid.es/dataset/300574-0-aparcamiento-influencia/resource/300574-2-aparcamiento-influencia-zip/download/300574-2-aparcamiento-influencia-zip.zip | https://datos.madrid.es/dataset/300574-0-aparcamiento-influencia/resource/300574-8-aparcamiento-influencia-xlsx/download/300574-8-aparcamiento-influencia-xlsx.xlsx | https://datos.madrid.es/dataset/300574-0-aparcamiento-influencia/resource/300574-4-aparcamiento-influencia/download/estructura_aparcamientos20municipales_c381reas20de20influencia.pdf | https://datos.madrid.es/dataset/300574-0-aparcamiento-influencia/resource/300574-3-aparcamiento-influencia-zip/download/300574-3-aparcamiento-influencia-zip.zip | https://datos.madrid.es/dataset/300574-0-aparcamiento-influencia/resource/300574-9-aparcamiento-influencia-csv/download/300574-9-aparcamiento-influencia-csv.csv | https://datos.madrid.es/dataset/300574-0-aparcamiento-influencia/resource/300574-5-aparcamiento-influencia/download/2022.06.16_planospdf.zip | https://datos.madrid.es/dataset/300574-0-aparcamiento-influencia/resource/300574-7-aparcamiento-influencia/download/resolucion20de20la20direccic393n20general20de20planificacic393n20e20infraestructuras20de20movili.pdf | https://datos.madrid.es/dataset/300574-0-aparcamiento-influencia/resource/300574-1-aparcamiento-influencia-xlsx/download/300574-1-aparcamiento-influencia-xlsx.xlsx,https://datos.madrid.es/bnode/N71423756835c464c944874ae8de938a3,"jue, 23 jul 2026 00:00:00 GMT+0000"
