osm_id,tipo_dato,lat,lon,nombre,operador,horario,zona
node/8718143401,parking_entrance,43.2975249,-2.9861911,,,,
node/8718338289,parking_entrance,43.6094319,1.2746634,,,,
node/8721651528,parking_entrance,40.429874,-3.6802961,,,,
node/8722748024,parking_entrance,40.4566867,-3.7103357,,,,
node/8725285330,parking_entrance,43.4237216,-5.8308576,,,,
node/8726145286,parking_entrance,43.336264,-1.8179731,,,,
node/8726145287,parking_entrance,43.3358758,-1.8177941,,,,
node/8726145298,parking_entrance,43.3368113,-1.8198292,,,,
node/8726145314,parking_entrance,43.3366142,-1.8182051,,,,
node/8726145315,parking_entrance,43.336921,-1.8183184,,,,
node/8726589221,parking_entrance,36.7295749,-4.4021272,,,,
node/8726589233,parking_entrance,36.7322663,-4.402793,,,,
node/8726589234,parking_entrance,36.7324247,-4.4028572,,,,
node/8731234358,parking_entrance,40.3292961,-3.867817,,,,
node/8732576251,parking_entrance,40.4069831,-3.6496801,,,,
node/8732576252,parking_entrance,40.4070009,-3.6496374,,,,
node/8733978177,parking_entrance,37.3445588,-5.9898955,,,,
node/8733978182,parking_entrance,37.3444251,-5.9895867,,,,
node/8733997443,parking_entrance,37.3431682,-5.9896481,,,,
node/8733997444,parking_entrance,37.3429187,-5.9896628,,,,
node/8733997456,parking_entrance,37.3412192,-5.9883271,,,,
node/8733997457,parking_entrance,37.3412768,-5.9884532,,,,
node/8735944143,parking_entrance,43.3437347,-3.0080659,,,,
node/8735991701,parking_entrance,43.4800271,-3.804968,,,,
node/8736065839,parking_entrance,43.4275367,-3.4474413,,,,
node/8740779591,parking_entrance,40.4142845,-3.6653035,Aparcamiento para residentes. Pez Volador,Ayuntamiento de Madrid,,
node/8750840503,parking_entrance,41.5367543,2.2116284,,,,
node/8752548388,parking_entrance,43.3579277,-8.4006193,,,,
node/8752558189,parking_entrance,43.3569435,-8.4021508,,,,
node/8755247860,parking_entrance,36.181222,-5.3371452,,,,
node/8755247864,parking_entrance,36.1807257,-5.3372345,,,,
node/8755247870,parking_entrance,36.1821752,-5.3369827,,,,
node/8756490817,parking_entrance,36.7229293,-4.5424872,,,,
node/8756490821,parking_entrance,36.7223895,-4.543223,,,,
node/8756490823,parking_entrance,36.7223361,-4.5426109,,,,
node/8760608214,parking_entrance,36.7262011,-4.3956513,,,,
node/8761186320,parking_entrance,43.3654057,-5.8420465,Parking Gran Bulevar,,,
node/8761186322,parking_entrance,43.3653835,-5.8419305,Parking Gran Bulevar,,,
node/8763962381,parking_entrance,36.1582049,-5.3528218,Palacio de Congresos / Hotel,,,
node/8764209778,parking_entrance,42.8273273,-1.6998069,,,,
node/8777542984,parking_entrance,40.449743,-3.7335355,,,,
node/8777542986,parking_entrance,40.449756,-3.7335404,,,,
node/8777543019,parking_entrance,40.4489403,-3.7333889,,,,
node/8778689030,parking_entrance,36.1589838,-5.3480257,Constitución - Frontera,Telpark,,
node/8778699856,parking_entrance,36.160526,-5.3484189,Constitución - Centro,Telpark,,
node/8779374678,parking_entrance,43.2681085,-2.9417796,,,,
node/8779374679,parking_entrance,43.2686405,-2.9408034,Zubiarte,,,
node/8785356451,parking_entrance,41.3990161,2.1496653,,,,
node/8785356454,parking_entrance,41.399106,2.1497841,,,,
node/8787245618,parking_entrance,40.4336811,-3.6850333,,,,
node/8789195905,parking_entrance,43.2203168,-2.7349825,Zelaieta,,,
node/8796065685,parking_entrance,40.4612682,-3.709494,,,,
node/8797660529,parking_entrance,40.4411797,-3.785307,,,,
node/8804963842,parking_entrance,40.4451931,-3.7063609,,,,
node/8806509929,parking_entrance,41.396177,2.1514489,Parking David,,,
node/8806683827,parking_entrance,36.7172226,-4.4407494,,,,
node/8807418627,parking_entrance,43.0879,-2.320101,,,,
node/8807418628,parking_entrance,43.0898539,-2.3189872,,,,
node/8807418632,parking_entrance,43.0899509,-2.3189764,,,,
node/8807418655,parking_entrance,43.0907696,-2.3179404,,,,
node/8807418673,parking_entrance,43.0908597,-2.3174147,,,,
node/8807418745,parking_entrance,43.0915982,-2.3160491,,,,
node/8807418900,parking_entrance,43.0884475,-2.3125784,,,,
node/8812724881,parking_entrance,40.4762652,-3.6731209,,,,
node/8814389010,parking_entrance,41.4015604,2.1955269,,,,
node/8814389013,parking_entrance,41.4019809,2.1949341,,,,
node/8817852668,parking_entrance,36.7237769,-4.54309,,,,
node/8817951281,parking_entrance,36.7238029,-4.5436928,,,,
node/8817951284,parking_entrance,36.7238458,-4.5442119,,,,
node/8824409707,parking_entrance,40.4489399,-3.7020596,,,,
node/8824409708,parking_entrance,40.4489459,-3.7021207,,,,
node/8827307874,parking_entrance,41.1185992,1.2703682,Mercadona,,,
node/8827321273,parking_entrance,41.118388,1.2698678,Mercadona,,,
node/8827321276,parking_entrance,41.1185309,1.2702024,Mercadona,,,
node/8827820336,parking_entrance,43.3046331,-0.3464224,,,,
node/8828204405,parking_entrance,41.9688366,-4.5127031,,,,
node/8828999363,parking_entrance,41.1162006,1.2455573,Parking Sata,,,
node/8829184894,parking_entrance,36.4228476,-5.1514705,,,,
node/8836516543,parking_entrance,43.3129144,-2.0128625,,,,
node/8836516551,parking_entrance,43.3134479,-2.0128508,,,,
node/8836832672,parking_entrance,40.558563,-3.6134607,,,,
node/8841641149,parking_entrance,36.4320481,-5.1148621,,,,
node/8841641152,parking_entrance,36.4329954,-5.1151008,,,,
node/8841641164,parking_entrance,36.432812,-5.1134673,,,,
node/8841641165,parking_entrance,36.4336558,-5.1139743,,,,
node/8841641168,parking_entrance,36.4336364,-5.114162,,,,
node/8841868089,parking_entrance,38.6434774,0.0541861,Suitopia,,,
node/8844609484,parking_entrance,36.4252813,-5.1436894,,,,
node/8845953317,parking_entrance,41.3622029,2.1034499,La Farga parking,,,
node/8846192119,parking_entrance,41.361598,2.1233724,,,,
node/8846294551,parking_entrance,40.4692593,-3.8542848,,,,
node/8846294566,parking_entrance,40.4695155,-3.8538842,,,,
node/8846546965,parking_entrance,41.6210358,-4.7488842,,,,
node/8848034566,parking_entrance,43.4769877,-3.799419,,,,
node/8848034573,parking_entrance,43.4773764,-3.7984923,,,,
node/8848034580,parking_entrance,43.4776625,-3.7978665,,,,
node/8848034607,parking_entrance,43.4790022,-3.7960274,,,,
node/8848034610,parking_entrance,43.4796666,-3.7955605,,,,
node/8848034616,parking_entrance,43.4792101,-3.7956279,,,,
node/8848034617,parking_entrance,43.4790876,-3.7957593,,,,
node/8848034642,parking_entrance,43.4794175,-3.7952523,,,,
node/8848034650,parking_entrance,43.4795204,-3.7954059,,,,
node/8848034656,parking_entrance,43.4798116,-3.7956414,,,,
node/8848034657,parking_entrance,43.4795764,-3.7957144,,,,
node/8848034674,parking_entrance,43.4793735,-3.7963204,,,,
node/8848034680,parking_entrance,43.4786732,-3.7964883,,,,
node/8848034688,parking_entrance,43.4789662,-3.7970738,,,,
node/8848034706,parking_entrance,43.4782874,-3.796987,,,,
node/8848034714,parking_entrance,43.4769556,-3.7998556,,,,
node/8848035061,parking_entrance,43.4773165,-3.8000625,,,,
node/8848035092,parking_entrance,43.4767594,-3.8008787,,,,
node/8849886757,parking_entrance,36.4280274,-5.1379364,,,,
node/8851379742,parking_entrance,41.1122685,1.2432744,Eurospar,,,
node/8852601090,parking_entrance,43.375613,-5.831191,,,,
node/8852679437,parking_entrance,37.7963238,-3.7886071,,,,
node/8853130306,parking_entrance,36.7216486,-4.4260855,,,,
node/8860080109,parking_entrance,36.5089141,-4.9097025,,,,
node/8861180479,parking_entrance,40.4156277,-3.6660411,,,,
node/8861180493,parking_entrance,40.4149492,-3.6661159,,,,
node/8862782659,parking_entrance,37.902215,-4.7572826,,,,
node/8863493433,parking_entrance,43.3002322,-1.8801876,,,,
node/8866105286,parking_entrance,37.2251736,-1.806957,,,,
node/8866105292,parking_entrance,37.2263214,-1.8060663,,,,
