FID,ogc_fid,wkb_geometry,name,description,timestamp,begin,end,altitudemode,tessellate,extrude,visibility,draworder,icon,poiid,lat,lon,altitude,address,telephone,email,categoryid,located,availabilitydefault,fs_id,fb_id,ta_id,url,hassec,poisecid,name_sec,description_sec,address_sec,latitude_sec,longitude_sec,category
da_aparcamientosPublicosMunicipales.fid--175d4967_1a00deb599f_-3972,74415,POINT (-4.427668100000035 36.71321493591762),Salitre,,,,,,-1,0,-1,,,1,36.7132149,-4.4276681,3.986444,Calle SalitreMálaga,,,1,1,1,,,,,1,,,,,,,
da_aparcamientosPublicosMunicipales.fid--175d4967_1a00deb599f_-3971,74416,POINT (-4.411914800000031 36.7208633359264),Cervantes,,,,,,-1,0,-1,,,2,36.7208633,-4.4119148,9.531203,Calle CervantesMálaga,,,1,1,1,,,,,1,,,,,,,
da_aparcamientosPublicosMunicipales.fid--175d4967_1a00deb599f_-3970,74417,POINT (-4.3607192000000214 36.7210350359267),El Palo,,,,,,-1,0,-1,,,3,36.7210350,-4.3607192,8.069582,Calle Alonso Carrillo De AlbornozMálaga,,,1,1,1,,,,,1,,,,,,,
da_aparcamientosPublicosMunicipales.fid--175d4967_1a00deb599f_-396f,74418,POINT (-4.427712000000033 36.71732713592233),Av. de Andalucía,,,,,,-1,0,-1,,,4,36.7173271,-4.4277120,7.358632,Avenida De Andalucía -  Málaga,,,1,1,1,,,,,1,,,,,,,
da_aparcamientosPublicosMunicipales.fid--175d4967_1a00deb599f_-396e,74419,POINT (-4.424498100000033 36.72020723592562),Camas,,,,,,-1,0,-1,,,5,36.7202072,-4.4244981,7.589293,Calle Camas -  Málaga,,,1,1,1,,,,,1,,,,,,,
da_aparcamientosPublicosMunicipales.fid--175d4967_1a00deb599f_-396d,74420,POINT (-4.440911800000037 36.711864535916064),Cruz De Humilladero,,,,,,-1,0,-1,,,6,36.7118645,-4.4409118,9.336616,Plaza Cruz De HumilladeroMálaga,,,1,1,1,,,,,1,,,,,,,
da_aparcamientosPublicosMunicipales.fid--175d4967_1a00deb599f_-396c,74421,POINT (-4.41651680000003 36.72243123592818),Alcazaba,,,,,,-1,0,-1,,,8,36.7224312,-4.4165168,14.149522,Plaza La AlcazabaMálaga,,,1,1,1,,,,,1,,,,,,,
da_aparcamientosPublicosMunicipales.fid--175d4967_1a00deb599f_-396b,74422,POINT (-4.433278100000036 36.71786503592295),San Juan De La Cruz,,,,,,-1,0,-1,,,9,36.7178650,-4.4332781,8.787301,Compositor Lemberg Ruiz - 29007 Málaga (Málaga),952612642,,1,1,1,,,,,1,,,,,,,
da_aparcamientosPublicosMunicipales.fid--175d4967_1a00deb599f_-396a,74423,POINT (-4.420046800000032 36.71741493592244),Pz. de la Marina,,,,,,-1,0,-1,,,10,36.7174149,-4.4200468,3.109754,Plaza De La MarinaMálaga,,,1,1,1,,,,,1,,,,,,,
da_aparcamientosPublicosMunicipales.fid--175d4967_1a00deb599f_-3969,74424,POINT (-4.421482100000033 36.72359853592952),Tejón y Rodriguez,,,,,,-1,0,-1,,,12,36.7235985,-4.4214821,10.485368,Calle Tejón Y RodriguezMálaga,,,1,1,1,,,,,1,,,,,,,
da_aparcamientosPublicosMunicipales.fid--175d4967_1a00deb599f_-3968,74425,POINT (0.0000000000341242 0),Pío Baroja,,,,,,-1,0,-1,,,151,0.0000000,0.0000000,0.000000,Avenida Pío Baroja - El Palo -  Málaga (Málaga),,,1,0,1,,,,,1,,,,,,,
