direccion,foto,longitud,latitud
"CALLE JUNTA Y PARALELA A RONDA SUR, RM-11 DE ACCESO A SUPERMERCADO ALDI","https://www.lorca.es/ficheros/File/parking-disabled/imagen-plazas/plaza1.jpg","-1.70636335094832","37.6580664400056"
"C/. Rambla Las Señoritas, esquina C/. Talleres, 1 plaza","https://www.lorca.es/ficheros/File/parking-disabled/imagen-plazas/plaza1.jpg","-1.70626577665283","37.6599489607304"
"C/ ANDRES PICHICHI, 4","https://www.lorca.es/ficheros/File/parking-disabled/imagen-plazas/plaza1.jpg","-1.70626019060067","37.6635373742717"
"Carretera Granada, 119, 30800 Lorca, Murcia, España","https://www.lorca.es/ficheros/File/parking-disabled/imagen-plazas/Cra. granada esquina las palomas15 [600].JPG","-1.70622199590911","37.6617358324397"
"C/Torrecilla (explanada)","https://www.lorca.es/ficheros/File/parking-disabled/imagen-plazas/calle torrecilla18 [600].JPG","-1.70614832969977","37.6655884237682"
"SAN AGUSTIN, esquina C/. Rambla Las Señoritas","https://www.lorca.es/ficheros/File/parking-disabled/imagen-plazas/plaza1.jpg","-1.7058872582204","37.6631562431454"
"C/Cánovas Cobeño, N  36","https://www.lorca.es/ficheros/File/parking-disabled/imagen-plazas/Canovas Cobeño 2817 [600].JPG","-1.70581636380632","37.6641342251149"
"C/. CHAPISTERIA, frente a Reserva Caritas, 1 plaza","https://www.lorca.es/ficheros/File/parking-disabled/imagen-plazas/plaza1.jpg","-1.70561671542261","37.6597790907007"
"C/. MÚSICO PÉREZ DE TUDELA, FRENTE N  19, DOS PLAZAS MINUSVALIDOS","https://www.lorca.es/ficheros/File/parking-disabled/imagen-plazas/plaza1.jpg","-1.7056114951065","37.6640568581481"
"Músico Pérez de Tudela, nº 19","https://www.lorca.es/ficheros/File/parking-disabled/imagen-plazas/plaza1.jpg","-1.70557758880773","37.6640640066621"
"RM-11, altura caalle acceso Suoermercado ALDI","https://www.lorca.es/ficheros/File/parking-disabled/imagen-plazas/plaza1.jpg","-1.70556149555364","37.6583904518595"
"C/. TALLERES, edif. Alhambra, 1 plaza","https://www.lorca.es/ficheros/File/parking-disabled/imagen-plazas/plaza1.jpg","-1.7054987179735","37.6611507800872"
"C/ Talleres altura del Centro de Salud la Viña","https://www.lorca.es/ficheros/File/parking-disabled/imagen-plazas/plaza1.jpg","-1.70547241302802","37.6611932455682"
"Ctra. Granada esquina C/. Las Palomas","https://www.lorca.es/ficheros/File/parking-disabled/imagen-plazas/plaza1.jpg","-1.70545723372959","37.6626787727256"
"C/Ramblilla San Lázaro proximidad al n  103","https://www.lorca.es/ficheros/File/parking-disabled/imagen-plazas/Ramblilla san lazaro 8702 [600].JPG","-1.70545229646041","37.6735691471872"
"Ctra. Granada esquina C/. Las Palomas","https://www.lorca.es/ficheros/File/parking-disabled/imagen-plazas/plaza1.jpg","-1.70545186931156","37.6626893891991"
"Músico Pérez de Tudela, nº 20","https://www.lorca.es/ficheros/File/parking-disabled/imagen-plazas/plaza1.jpg","-1.70543811393895","37.6642635923862"
"C/Proximidad al acceso Parador de Lorca","https://www.lorca.es/ficheros/File/parking-disabled/imagen-plazas/plaza1.jpg","-1.7053470604319","37.6773819374179"
"C/Proximidad al acceso Parador de Lorca","https://www.lorca.es/ficheros/File/parking-disabled/imagen-plazas/plaza1.jpg","-1.70533834325261","37.6773856524478"
"C/ Talleres altura del Centro de Salud la Viña","https://www.lorca.es/ficheros/File/parking-disabled/imagen-plazas/plaza1.jpg","-1.70531148048713","37.6615287321118"
"C/ Talleres altura del Centro de Salud la Viña","https://www.lorca.es/ficheros/File/parking-disabled/imagen-plazas/plaza1.jpg","-1.7053061160691","37.6615329787672"
"C/ Talleres altura del Centro de Salud La Viña ","https://www.lorca.es/ficheros/File/parking-disabled/imagen-plazas/plaza1.jpg","-1.7053061160691","37.6615457187319"
"Travesía C/ Benemérita, altura AA.VV. Alfonso X El Sabio","https://www.lorca.es/ficheros/File/parking-disabled/imagen-plazas/Benemerita exquina AAVV alfonso X19 [600].JPG","-1.70495877000167","37.6659355680583"
"C/ Benemérita altura Cuartel Guardia Civil (BAJA POR MOTIVOS DE SEGURIDAD DESDE JUNIO 2017)","https://www.lorca.es/ficheros/File/parking-disabled/imagen-plazas/plaza1.jpg","-1.70479631838532","37.6657645541197"
"CALLE GUITARRISTA CANO, FRENTE N  13","https://www.lorca.es/ficheros/File/parking-disabled/imagen-plazas/plaza1.jpg","-1.70457062914423","37.6646074947903"
"Ctra. de Granada, frente a n  42","https://www.lorca.es/ficheros/File/parking-disabled/imagen-plazas/plaza1.jpg","-1.70456046196296","37.663826137193"
"Ctra. de Granada, frente a n  42","https://www.lorca.es/ficheros/File/parking-disabled/imagen-plazas/plaza1.jpg","-1.7045497331269","37.6638473698104"
"C/. SOR MATILDE GARCÍA, JUNTO A MURO COLEGIO SAN JOSÉ DE CALASANZ, DOS PLAZAS JUNTAS","https://www.lorca.es/ficheros/File/parking-disabled/imagen-plazas/plaza1.jpg","-1.7044740896648","37.6741614584474"
"C/ Tenor J. Romeu con C/Mateo Aleman B   Alfonso X ","https://www.lorca.es/ficheros/File/parking-disabled/imagen-plazas/plaza1.jpg","-1.70441830488517","37.6649811827574"
"C/Ramblilla San Lázaro proximidad al n  87","https://www.lorca.es/ficheros/File/parking-disabled/imagen-plazas/plaza1.jpg","-1.70435192021205","37.6733488873407"
"C  Viejo del Puerto n  60","https://www.lorca.es/ficheros/File/parking-disabled/imagen-plazas/Ctra viejo del puerto 6016 [600].JPG","-1.7041020404755","37.6627914112474"
"TRAVESÍA SEGUNDA CAÍDA, JUNTO AL MURO RECINTO CALVARIO","https://www.lorca.es/ficheros/File/parking-disabled/imagen-plazas/plaza1.jpg","-1.70407175812216","37.670106481882"
"C/Perez Casas, altura Travesía Virgen de las Huertas(farmacia)","https://www.lorca.es/ficheros/File/parking-disabled/imagen-plazas/Lorenzo soto esquina Pérez casas [600].jpg","-1.7038309011109","37.6663103122128"
"Cañada Sepulcro","https://www.lorca.es/ficheros/File/parking-disabled/imagen-plazas/plaza1.jpg","-1.70380330754438","37.6707869898843"
"Cañada Sepulcro","https://www.lorca.es/ficheros/File/parking-disabled/imagen-plazas/plaza1.jpg","-1.70375905109563","37.6707604515931"
"C/ Rambla Alta n 23","https://www.lorca.es/ficheros/File/parking-disabled/imagen-plazas/plaza1.jpg","-1.70374048095096","37.6681633553289"
"C/ Benemérita altura Cuartel Guardia Civil (BAJA POR MOTIVOS DE SEGURIDAD, DESDE JUNIO 2017)","https://www.lorca.es/ficheros/File/parking-disabled/imagen-plazas/plaza1.jpg","-1.70373684582444","37.6652528595667"
"CAÑADA SEPULCRO, PROXIMIDAD A ESPOLON Y ROMI, DOS PLAZAS MINUSVALIDOS","https://www.lorca.es/ficheros/File/parking-disabled/imagen-plazas/plaza1.jpg","-1.70351041104504","37.67065803868"
"C/ Juan Bayonas n 12","https://www.lorca.es/ficheros/File/parking-disabled/imagen-plazas/plaza1.jpg","-1.70349575581963","37.6691687924374"
"C/Joaquin Sorolla  N  14","https://www.lorca.es/ficheros/File/parking-disabled/imagen-plazas/plaza1.jpg","-1.70328476871714","37.6636910881648"
"II TRAVESÍA CAMINO VIEJO DEL PUERTO, 5","https://www.lorca.es/ficheros/File/parking-disabled/imagen-plazas/plaza1.jpg","-1.70317590604188","37.6647794770061"
"C/Jose María Zarauz,esquina con C/Soledad","https://www.lorca.es/ficheros/File/parking-disabled/imagen-plazas/plaza1.jpg","-1.70308072638932","37.6735163988079"
"C/José María Zarauz,esquina con C/Soledad","https://www.lorca.es/ficheros/File/parking-disabled/imagen-plazas/plaza1.jpg","-1.70304317546311","37.6735025994053"
"Cañada  Sepulcro frente a C/ La Horca","https://www.lorca.es/ficheros/File/parking-disabled/imagen-plazas/plaza1.jpg","-1.70297594698741","37.6702704885371"
"C/ Rambla Alta n  2","https://www.lorca.es/ficheros/File/parking-disabled/imagen-plazas/plaza1.jpg","-1.70261885092623","37.6680215983278"
"SEBASTIAN CLAVIJO","https://www.lorca.es/ficheros/File/parking-disabled/imagen-plazas/plaza1.jpg","-1.70252725396722","37.669115737379"
"C/. CABEZO VELEZ, FRENTE N  4","https://www.lorca.es/ficheros/File/parking-disabled/imagen-plazas/plaza1.jpg","-1.70249752149584","37.6725277083656"
"C/ Cabezo de Vélez, frente nº 4","https://www.lorca.es/ficheros/File/parking-disabled/imagen-plazas/plaza1.jpg","-1.70238307787099","37.6724758672163"
"Camino Viejo del Puerto, 5, 30800 Lorca, Murcia, España","https://www.lorca.es/ficheros/File/parking-disabled/imagen-plazas/plaza1.jpg","-1.702326449873","37.6627826537526"
"C/Pérez Casas, frente a plaza San José","https://www.lorca.es/ficheros/File/parking-disabled/imagen-plazas/plaza1.jpg","-1.70229381891022","37.6685156280576"
"C/Francisco Escobar Barberan (Colegio Ana Caicedo,proximidad Ong´s)","https://www.lorca.es/ficheros/File/parking-disabled/imagen-plazas/plaza1.jpg","-1.70220347079112","37.6628515535178"
"C/Francisco Escobar Barberan (Colegio Ana Caicedo,proximidad Ong´s)","https://www.lorca.es/ficheros/File/parking-disabled/imagen-plazas/plaza1.jpg","-1.70219957828522","37.6628624200678"
"C/Ramblilla San Lázaro proximidad con C/Herradura","https://www.lorca.es/ficheros/File/parking-disabled/imagen-plazas/plaza1.jpg","-1.70191787486874","37.6729532195178"
"C/. PEREZ CASAS, 26","https://www.lorca.es/ficheros/File/parking-disabled/imagen-plazas/plaza1.jpg","-1.70191557668647","37.669548446058"
"C/Ramblilla San Lázaro proximidad con C/ Herradura","https://www.lorca.es/ficheros/File/parking-disabled/imagen-plazas/plaza1.jpg","-1.70186691289746","37.6728953677195"
"C/La Seda, junto a vado n 2294","https://www.lorca.es/ficheros/File/parking-disabled/imagen-plazas/plaza1.jpg","-1.70184284448624","37.6660362886488"
"C/Redón n 40","https://www.lorca.es/ficheros/File/parking-disabled/imagen-plazas/plaza1.jpg","-1.70179046134217","37.6704557080672"
"C/La Seda, junto a vado n  2294","https://www.lorca.es/ficheros/File/parking-disabled/imagen-plazas/plaza1.jpg","-1.70171463819815","37.6661277175637"
"C/. FRANCISCO ESCOBAR BARBERÁN, 30-32","https://www.lorca.es/ficheros/File/parking-disabled/imagen-plazas/plaza1.jpg","-1.70167391076688","37.6642210641604"
"C/Palmera Uceta con C/Vieja de San Pedro","https://www.lorca.es/ficheros/File/parking-disabled/imagen-plazas/plaza1.jpg","-1.70157923925206","37.6763708625821"
"C/Redón n  11","https://www.lorca.es/ficheros/File/parking-disabled/imagen-plazas/Redon 1126 [600].JPG","-1.70157469632989","37.6712848845731"
"C/. ESPIN ALTA, PROXIMIDAD 24","https://www.lorca.es/ficheros/File/parking-disabled/imagen-plazas/plaza1.jpg","-1.70131918406139","37.6734301241568"
"C/José Mouliaá,esquina C/Jerónimo Santa Fe","https://www.lorca.es/ficheros/File/parking-disabled/imagen-plazas/jose moulia22 [600].JPG","-1.70130727119863","37.6683102309686"
"ROTONDA SANTA MARÍA, JUNTO A IGLESIA SANTA MARÍA ANTIGUAS PISTAS DEPORTIVAS","https://www.lorca.es/ficheros/File/parking-disabled/imagen-plazas/plaza1.jpg","-1.70100328958696","37.6787299414349"
"C/Nogalte,proximidad con C/Campoamor","https://www.lorca.es/ficheros/File/parking-disabled/imagen-plazas/plaza1.jpg","-1.70050350061172","37.6723885466193"
"CTRA. CARAVACA, esquina con C/. Los Limoneros.","https://www.lorca.es/ficheros/File/parking-disabled/imagen-plazas/plaza1.jpg","-1.70046969953833","37.6872016947786"
"C/. CORREGIDOR CON C/. MOYA Y C/. LABERINTO","https://www.lorca.es/ficheros/File/parking-disabled/imagen-plazas/plaza1.jpg","-1.70029148032188","37.6771556220529"
"Camino Marín esquina C/Arquitecto Ortiz de la Jara","https://www.lorca.es/ficheros/File/parking-disabled/imagen-plazas/camino marin esquina  artuitecto Ortiz de la Jara33 [600].JPG","-1.70017478773161","37.6662070239562"
"C/ Ministro Perez de Meca edif. Nuevo Ensanchez n 1 con C/Fray Diego de Cadiz","https://www.lorca.es/ficheros/File/parking-disabled/imagen-plazas/plaza1.jpg","-1.70016642552073","37.6675990792281"
"C/ Ministro Perez de Meca edif. Nuevo Ensanchez n 1 con C/Fray Diego de Cadiz","https://www.lorca.es/ficheros/File/parking-disabled/imagen-plazas/plaza1.jpg","-1.70016106370142","37.6675502466674"
"AVDA. PORTUGAL, JUNTO N  15","https://www.lorca.es/ficheros/File/parking-disabled/imagen-plazas/plaza negrito28 [600].JPG","-1.69989824295044","37.6714440117311"
