gis_x;gis_y;fecha_de_alta;fecha_de_baja;cod_distrito;distrito;cod_barrio;num_barrio;barrio;calle;numero_finca;matricula;longitud;latitud
439524.4070589660;4473280.6560348800;2014-05-28;1900-01-08;1;Centro;11;1;Palacio;GRAN VIA DE SAN FRANCISCO, AVENIDA, DE LA;7;0301110073;-3.7127360060;40.4079464770
439435.9210834510;4473319.8626054700;2014-05-28;1900-01-08;1;Centro;11;1;Palacio;GRAN VIA DE SAN FRANCISCO, AVENIDA, DE LA;S/N;0301110070;-3.7137824560;40.4082931170
439513.7693006300;4473853.9190472800;2014-05-27;1900-01-08;1;Centro;11;1;Palacio;GRANADO, CALLE, DEL;2;0301110039;-3.7129158000;40.4131099160
439718.1449150000;4473601.4641750000;2014-05-28;1900-01-08;1;Centro;11;1;Palacio;HUMILLADERO, CALLE, DEL;10;0301110057;-3.7104831360;40.4108497120
439724.2952090000;4473505.3837040000;2014-05-28;1900-01-08;1;Centro;11;1;Palacio;HUMILLADERO, CALLE, DEL;13;0301110059;-3.7104016610;40.4099853480
439703.2389975990;4473689.4094054000;2014-05-27;1900-01-08;1;Centro;11;1;Palacio;HUMILLADERO, PLAZA, DEL;5;0301110036;-3.7106672270;40.4116416540
439833.8088040000;4474770.9404620000;2014-05-26;1900-01-08;1;Centro;11;1;Palacio;ISABEL LA CATOLICA, CALLE, DE;11;0301110005;-3.7092306500;40.4213935100
439629.3438770000;4474143.3902660000;2014-05-26;1900-01-08;1;Centro;11;1;Palacio;JUAN DE HERRERA, CALLE, DE;5;0301110018;-3.7115812090;40.4157258690
439733.9139287290;4474857.1215266200;2014-05-26;1900-01-08;1;Centro;11;1;Palacio;LEGANITOS, CALLE, DE;22;0301110003;-3.7104162720;40.4221628210
439670.2133160000;4474954.7315650000;2014-05-26;2023-09-11;1;Centro;11;1;Palacio;LEGANITOS, CALLE, DE;47;0301110001;-3.7111764720;40.4230371540
439526.1659948450;4473771.4810307500;2014-05-27;1900-01-08;1;Centro;11;1;Palacio;MANCEBOS, CALLE, DE LOS;11;0301110043;-3.7127619040;40.4123674200
439388.5626890600;4474069.8281381900;2014-05-26;1900-01-08;1;Centro;11;1;Palacio;MAYOR, CALLE;85;0301110024;-3.7144120220;40.4150455960
439327.6307972990;4474007.4675988800;2016-08-30;1900-01-08;1;Centro;11;1;Palacio;MAYOR, CALLE;S/N;0301110023;-3.7151242090;40.4144791700
439370.8629645420;4473809.8074770300;2014-05-27;1900-01-08;1;Centro;11;1;Palacio;MORERIA, CALLE, DE LA;14;0301110033;-3.7145958840;40.4127013400
439596.3217400000;4474269.2357610000;2014-05-26;1900-01-08;1;Centro;11;1;Palacio;NOBLEJAS, CALLE, DE;2;0301110016;-3.7119822800;40.4168568880
439340.4616510000;4473439.0550110000;2014-05-28;1900-01-08;1;Centro;11;1;Palacio;ROSARIO, CALLE, DEL;21;0301110062;-3.7149187460;40.4093599640
439435.3602097210;4473472.6173943900;2014-05-28;1900-01-08;1;Centro;11;1;Palacio;ROSARIO, CALLE, DEL;5;0301110061;-3.7138035410;40.4096687890
439624.0998791420;4473850.3033448000;2014-05-27;1900-01-08;1;Centro;11;1;Palacio;SAN ANDRES, COSTANILLA, DE;8;0301110038;-3.7116151290;40.4130852790
439412.6329369930;4473402.5760720700;2014-05-28;1900-01-08;1;Centro;11;1;Palacio;SAN BERNABE, CALLE, DE;12;0301110066;-3.7140646950;40.4090361860
