CÓDIGO APARC;NOMBRE APARC;TIPO;PZS ROTACIÓN;PZS RESIDENTES;PZS DISUASORIAS;PZS TOTALES;NUM PLANTAS;ESTADO;PRIVADO;DISUASORIO;COD DISTRITO;DISTRITO;COD BARRIO;BARRIO;COD SER;LATITUD;LONGITUD;COD CATASTRO;URL;COD PK;DIRECCIÓN
432;SERRANO I;MIXTO;307;833;;1140;4;ABIERTO;NO;NO;4;SALAMANCA           ;6;CASTELLANA;46;40.4329452991722;-3.68611338542774;1860401VK4716B0001QT;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=bd61f94ae1d15410VgnVCM2000000c205a0aRCRD;7416748;CALLE DE SERRANO NUM 2(P), 28006 MADRID
433;SERRANO II;MIXTO;379;804;;1183;4;ABIERTO;NO;NO;4;SALAMANCA           ;6;CASTELLANA;46;40.4303442290635;-3.68850808858792;1755501VK4715F0001EQ;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=bc096f1c35d15410VgnVCM2000000c205a0aRCRD;7417028;CALLE DE SERRANO NUM 44(P), 28006 MADRID
434;SERRANO III;MIXTO;261;725;;986;4;ABIERTO;NO;NO;4;SALAMANCA           ;1;RECOLETOS;41;40.4244268291578;-3.68965177313431;1749101VK4714H0001KW;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=9a1c6f1c35d15410VgnVCM2000000c205a0aRCRD;7417052;CALLE DE SERRANO NUM 84(P), 28001 MADRID
114;SEVILLA;MIXTO;391;143;;561;1;ABIERTO;NO;NO;1;CENTRO              ;6;SOL;163;40.4178671530748;-3.69979694400846;0745101VK4704D0001II;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=9dd67339ae51c010VgnVCM2000000c205a0aRCRD;13460;CALLE DE ALCALÁ NUM 17(D), 28014 MADRID
1622;SOMONTÍN;RESIDENCIAL;;282;;282;3;ABIERTO;NO;NO;16;HORTALEZA           ;5;APOSTOL SANTIAGO;0;40.4771584121652;-3.65901066340453;4211001VK4841A0001JB;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=d7e6bdc85c01c010VgnVCM2000000c205a0aRCRD;81841;CALLE DE SOMONTÍN NUM 59(B), 28033 MADRID
606;SOR ÁNGELA DE LA CRUZ;RESIDENCIAL;;250;;250;2;ABIERTO;NO;NO;6;TETUÁN              ;3;CASTILLEJOS;63;40.4598568460617;-3.69649048133011;1191301VK4719A0001WQ;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=2e607339ae51c010VgnVCM2000000c205a0aRCRD;13492;CALLE DE SOR ÁNGELA DE LA CRUZ NUM 27(P), 28020 MADRID
1009;TEMBLEQUE;RESIDENCIAL;;562;;562;3;ABIERTO;NO;NO;10;LATINA              ;4;ALUCHE;0;40.3917164795896;-3.76379557097787;5018731VK3751G0001XG;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=74907339ae51c010VgnVCM2000000c205a0aRCRD;13511;CALLE DE TEMBLEQUE NUM 106(B), 28024 MADRID
1201;TOMELLOSO;RESIDENCIAL;;213;;213;3;ABIERTO;NO;NO;12;USERA               ;4;ALMENDRALES;0;40.38241200852226; -3.6980492843158093;0805601VK4700F0001KR;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=cab07339ae51c010VgnVCM2000000c205a0aRCRD;13547;CALLE DE TOMELLOSO NUM 2(P) PLTA -4, 28026 MADRID
501;URUGUAY;RESIDENCIAL;;246;;246;2;ABIERTO;NO;NO;5;CHAMARTÍN;4;HISPANOAMERICA;54;40.45491579186842; -3.6729545093535205;3085934VK4738G0001IM;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=11e07339ae51c010VgnVCM2000000c205a0aRCRD;13489;CALLE DE URUGUAY NUM 16(B) PLTA -1 PRTA 01, 28016 MADRID
5022;USERA;ROTACIONAL;36;;;36;1;ABIERTO;NO;NO;12;USERA               ;5;MOSCARDO;125;40.38728599111143;-3.7063081042559407;0111401VK4701A0001SX;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=ce8907e1fd534610VgnVCM1000001d4a900aRCRD;10737574;CALLE DE AMPARO USERA NUM 46, 28026 MADRID
904;VALDERROMÁN;RESIDENCIAL;;424;;424;3;ABIERTO;NO;NO;9;MONCLOA-ARAVACA     ;4;VALDEZARZA;0;40.470610708220725; -3.7215173170272573;8904940VK3880D0001LA;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=85026545f951c010VgnVCM2000000c205a0aRCRD;24139;CALLE DE VALDERROMÁN NUM 24(P), 28035 MADRID
