FID,ID,NOMBRE,DESCRIPCION,DIRECCION,SDOGEOMETRIA,URL,EMAIL,CONTACTO,HORARIOS,PRECIOS,TITULARIDAD,TARJETAJOVEN,ACCESOPMR,LONGITUD
da_aparcamientosMoto.fid--175d4967_1a00d9bb795_2d9a,65869,APARCAMOTOS_331,esquina con C/ Ramos Marín,"CALLE GÓMEZ PALLETE, 11 ",POINT (373343.000079249 4065246.00010144),,,,,,MUNICIPAL,No,No,
da_aparcamientosMoto.fid--175d4967_1a00d9bb795_2d9b,78445,APARCAMOTOS_374,"C/ Casarabonela N.º 24, esquina con la Plaza Alcalde Enrique Gómez Rodriguez","CALLE CASARABONELA, 24 ",POINT (370535.39649765 4063528.32678699),,,,,,MUNICIPAL,No,No,10
da_aparcamientosMoto.fid--175d4967_1a00d9bb795_2d9c,79299,APARCAMOTOS_2909,Av. de los Guindos esq. C /Calañas,"CALLE CALAÑAS, 11 ",POINT (370324.140584966 4061735.13849881),,,,,,MUNICIPAL,No,No,8
da_aparcamientosMoto.fid--175d4967_1a00d9bb795_2d9d,65642,APARCAMOTOS_096,Esq. Sondalezas,"CALLE SONDALEZAS, 20 ",POINT (371183.912756024 4065392.07035738),,,,24 h.,,MUNICIPAL,No,No,10
da_aparcamientosMoto.fid--175d4967_1a00d9bb795_2d9e,65692,APARCAMOTOS_139,Días Lectivos de 8:30 a 16:30. ,"CALLE CORTÉS EL VIEJO, 2 ",POINT (370475.998641986 4062815.21970528),,,,Lectivos 8:30-16:30,,MUNICIPAL,No,No,10
da_aparcamientosMoto.fid--175d4967_1a00d9bb795_2d9f,65709,APARCAMOTOS_186,Esq. AV. Gregorio Diego,"AVENIDA DE VELÁZQUEZ, 97 ",POINT (370013.642048821 4061711.43945381),,,,24 h,,MUNICIPAL,No,No,10
da_aparcamientosMoto.fid--175d4967_1a00d9bb795_2da0,78118,APARCAMOTOS_360,,"AVENIDA DE VELÁZQUEZ, 102 ",POINT (369924.462629656 4061684.4981075),,,,,,MUNICIPAL,No,No,10
da_aparcamientosMoto.fid--175d4967_1a00d9bb795_2da1,65597,APARCAMOTOS_205,Esq. Montaño,"CALLE MARIBLANCA, 9 ",POINT (373172.406521165 4065252.03618524),,,,Solo Motos,,MUNICIPAL,No,No,74
da_aparcamientosMoto.fid--175d4967_1a00d9bb795_2da2,65738,APARCAMOTOS_243,Esq. Cl. La Regente,"CALLE SEVILLA, 25 ",POINT (372348.21072004 4065407.32611586),,,,24 h.,,MUNICIPAL,No,No,10
da_aparcamientosMoto.fid--175d4967_1a00d9bb795_2da3,65644,APARCAMOTOS_097,Esq. Juan Antonio Tercero,"CALLE NUESTRA SEÑORA DE LOS CLARINES, 2 ",POINT (371419.78042046 4065814.2644201),,,,Laborables 8 a 20 h.,,MUNICIPAL,No,No,15
da_aparcamientosMoto.fid--175d4967_1a00d9bb795_2da4,65843,APARCAMOTOS_016,Frente a Cl. Purificación,"CALLE PURIFICACIÓN, 9 ",POINT (372705.153369351 4065257.97762088),,,,24 h.,,MUNICIPAL,No,No,27
da_aparcamientosMoto.fid--175d4967_1a00d9bb795_2da5,65835,APARCAMOTOS_113,Esq. Avda. Sor Teresa Prat,"CALLE SARGENTO CROOKE LÓPEZ, 10 ",POINT (371353.243267117 4062726.93899034),,,,24 h.,,MUNICIPAL,No,No,14
da_aparcamientosMoto.fid--175d4967_1a00d9bb795_2da6,65666,APARCAMOTOS_127,Esq. Comandante Roman,"CALLE SARGENTO CROOKE LÓPEZ, 7 ",POINT (371344.309288495 4062721.94041423),,,,24 h.,,MUNICIPAL,No,No,8
da_aparcamientosMoto.fid--175d4967_1a00d9bb795_2da7,65770,APARCAMOTOS_309,,"CALLE PUJERRA, 1 ",POINT (370998.999792312 4062629.00028705),,,,,,MUNICIPAL,No,No,7
da_aparcamientosMoto.fid--175d4967_1a00d9bb795_2da8,65793,APARCAMOTOS_242,Esq. con Cl. Trinidad,"CALLE SEVILLA, 2 ",POINT (372336.194279691 4065188.68691985),,,,24 h.,,MUNICIPAL,No,No,5
da_aparcamientosMoto.fid--175d4967_1a00d9bb795_2da9,65645,APARCAMOTOS_091,Esq. Eugenio Gross,"AVENIDA DE SAN SEBASTIÁN, 2 ",POINT (371772.975349801 4065111.50718791),,,,Laborables 8 a 20h,,MUNICIPAL,No,No,14
da_aparcamientosMoto.fid--175d4967_1a00d9bb795_2daa,75531,APARCAMOTOS_287,Esquina con Plaza Basconia,"AVENIDA DE SAN SEBASTIÁN, 9 ",POINT (371685.557554647 4065103.17530433),,,,Laborables de 8 a 20h.,,MUNICIPAL,No,No,10
da_aparcamientosMoto.fid--175d4967_1a00d9bb795_2dab,65829,APARCAMOTOS_093,Esq. Plaza Bailén,"CALLE BAILÉN, 4 ",POINT (372094.752340194 4065236.67852471),,,,24 h.,,MUNICIPAL,No,No,14
