FID,ID,NOMBRE,DESCRIPCION,DIRECCION,SDOGEOMETRIA,URL,EMAIL,CONTACTO,HORARIOS,PRECIOS,TITULARIDAD,TARJETAJOVEN,ACCESOPMR,LONGITUD
da_aparcamientosMoto.fid--175d4967_1a012c2fafb_270c,65695,APARCAMOTOS_170,,"PLAZA DE JESÚS ""EL RICO"", 5 ",POINT (-4.416769000018079 36.72251103763015),,,,24 h.,,MUNICIPAL,No,No,105
da_aparcamientosMoto.fid--175d4967_1a012c2fafb_270d,65750,APARCAMOTOS_253,Esq. con Alameda de Colón,"CALLE MARTÍNEZ CAMPOS, 20 ",POINT (-4.424412000018265 36.71513003762073),,,,24 h.,,MUNICIPAL,No,No,6
da_aparcamientosMoto.fid--175d4967_1a012c2fafb_270e,65681,APARCAMOTOS_156,Puerta de Gimnasio.,"AVENIDA DE PARMÉNIDES, 7 ",POINT (-4.479967653771248 36.72298309661495),,,,24h,,MUNICIPAL,No,No,20
da_aparcamientosMoto.fid--175d4967_1a012c2fafb_270f,65796,APARCAMOTOS_226,,"CALLE PALMA DEL RÍO, 2 ",POINT (-4.453326000018994 36.69167803759076),,,,24 h.,,MUNICIPAL,No,No,10
da_aparcamientosMoto.fid--175d4967_1a012c2fafb_2710,65748,APARCAMOTOS_247,Esq. Cl. Alemania,"CALLE CONCEJAL RODRÍGUEZ SORIA, 2 ",POINT (-4.424401000018251 36.71323903761837),,,,24 h.,,MUNICIPAL,No,No,10
da_aparcamientosMoto.fid--175d4967_1a012c2fafb_2711,65754,APARCAMOTOS_254,Esq. con Cl. San Lorenzo,"CALLE MARTÍNEZ CAMPOS, 17 ",POINT (-4.424057000018251 36.715224037620835),,,,24 h.,,MUNICIPAL,No,No,11
da_aparcamientosMoto.fid--175d4967_1a012c2fafb_2712,65768,APARCAMOTOS_305,Esq. con Cl. Capulino Jauregui,"CALLE AYALA, 61 ",POINT (-4.435913890018553 36.70603139760916),,,,,,MUNICIPAL,No,No,8
da_aparcamientosMoto.fid--175d4967_1a012c2fafb_2713,65746,APARCAMOTOS_234,Esquina c/ Mendivil,"CALLE EGUILUZ, 10 ",POINT (-4.434987000018539 36.712241037617105),,,,,,MUNICIPAL,No,No,16
da_aparcamientosMoto.fid--175d4967_1a012c2fafb_2714,65792,APARCAMOTOS_235,Frente Cl. Dos Aceras,"CALLE REFINO, 37 ",POINT (-4.42030400001818 36.726434037635194),,,,Motos,,MUNICIPAL,No,No,6
da_aparcamientosMoto.fid--175d4967_1a012c2fafb_2715,65671,APARCAMOTOS_136,Esq. con Pasaje Noblejas,"CALLE SALITRE, 20 ",POINT (-4.427490234393343 36.713447757292016),,,,24 h.,,MUNICIPAL,No,No,14
