Nº de plazas de garaje;Municipios (con más de 2.000 habitantes);Nº de inmuebles;Total
21 a 50;44014  Alcorisa;40 o más;..
21 a 50;44025  Andorra;Total;1
21 a 50;44025  Andorra;1;..
21 a 50;44025  Andorra;2;..
21 a 50;44025  Andorra;3;..
21 a 50;44025  Andorra;4;..
21 a 50;44025  Andorra;5 a 9;..
21 a 50;44025  Andorra;10 a 19;1
21 a 50;44025  Andorra;20 a 29;..
21 a 50;44025  Andorra;30 a 39;..
21 a 50;44025  Andorra;40 o más;..
21 a 50;44050  Calamocha;Total;3
21 a 50;44050  Calamocha;1;..
21 a 50;44050  Calamocha;2;..
21 a 50;44050  Calamocha;3;..
21 a 50;44050  Calamocha;4;..
21 a 50;44050  Calamocha;5 a 9;1
21 a 50;44050  Calamocha;10 a 19;1
21 a 50;44050  Calamocha;20 a 29;1
21 a 50;44050  Calamocha;30 a 39;..
21 a 50;44050  Calamocha;40 o más;..
21 a 50;44051  Calanda;Total;..
21 a 50;44051  Calanda;1;..
21 a 50;44051  Calanda;2;..
21 a 50;44051  Calanda;3;..
21 a 50;44051  Calanda;4;..
21 a 50;44051  Calanda;5 a 9;..
21 a 50;44051  Calanda;10 a 19;..
21 a 50;44051  Calanda;20 a 29;..
21 a 50;44051  Calanda;30 a 39;..
21 a 50;44051  Calanda;40 o más;..
21 a 50;44076  Cella;Total;1
21 a 50;44076  Cella;1;..
21 a 50;44076  Cella;2;..
21 a 50;44076  Cella;3;..
21 a 50;44076  Cella;4;..
21 a 50;44076  Cella;5 a 9;1
21 a 50;44076  Cella;10 a 19;..
21 a 50;44076  Cella;20 a 29;..
21 a 50;44076  Cella;30 a 39;..
21 a 50;44076  Cella;40 o más;..
21 a 50;44153  Monreal del Campo;Total;..
21 a 50;44153  Monreal del Campo;1;..
21 a 50;44153  Monreal del Campo;2;..
21 a 50;44153  Monreal del Campo;3;..
21 a 50;44153  Monreal del Campo;4;..
21 a 50;44153  Monreal del Campo;5 a 9;..
21 a 50;44153  Monreal del Campo;10 a 19;..
21 a 50;44153  Monreal del Campo;20 a 29;..
21 a 50;44153  Monreal del Campo;30 a 39;..
21 a 50;44153  Monreal del Campo;40 o más;..
21 a 50;44216  Teruel;Total;78
21 a 50;44216  Teruel;1;..
21 a 50;44216  Teruel;2;..
21 a 50;44216  Teruel;3;..
21 a 50;44216  Teruel;4;..
21 a 50;44216  Teruel;5 a 9;2
21 a 50;44216  Teruel;10 a 19;23
21 a 50;44216  Teruel;20 a 29;27
21 a 50;44216  Teruel;30 a 39;15
21 a 50;44216  Teruel;40 o más;11
21 a 50;44238  Utrillas;Total;1
21 a 50;44238  Utrillas;1;..
21 a 50;44238  Utrillas;2;..
21 a 50;44238  Utrillas;3;..
21 a 50;44238  Utrillas;4;..
21 a 50;44238  Utrillas;5 a 9;1
21 a 50;44238  Utrillas;10 a 19;..
21 a 50;44238  Utrillas;20 a 29;..
21 a 50;44238  Utrillas;30 a 39;..
21 a 50;44238  Utrillas;40 o más;..
21 a 50;44246  Valderrobres;Total;4
21 a 50;44246  Valderrobres;1;..
21 a 50;44246  Valderrobres;2;..
21 a 50;44246  Valderrobres;3;..
21 a 50;44246  Valderrobres;4;..
21 a 50;44246  Valderrobres;5 a 9;1
21 a 50;44246  Valderrobres;10 a 19;1
21 a 50;44246  Valderrobres;20 a 29;..
21 a 50;44246  Valderrobres;30 a 39;2
21 a 50;44246  Valderrobres;40 o más;..
Más de 50;44008  Albalate del Arzobispo;Total;..
Más de 50;44008  Albalate del Arzobispo;1;..
Más de 50;44008  Albalate del Arzobispo;2;..
Más de 50;44008  Albalate del Arzobispo;3;..
Más de 50;44008  Albalate del Arzobispo;4;..
Más de 50;44008  Albalate del Arzobispo;5 a 9;..
Más de 50;44008  Albalate del Arzobispo;10 a 19;..
Más de 50;44008  Albalate del Arzobispo;20 a 29;..
Más de 50;44008  Albalate del Arzobispo;30 a 39;..
Más de 50;44008  Albalate del Arzobispo;40 o más;..
Más de 50;44013  Alcañiz;Total;2
Más de 50;44013  Alcañiz;1;..
Más de 50;44013  Alcañiz;2;..
Más de 50;44013  Alcañiz;3;..
Más de 50;44013  Alcañiz;4;..
Más de 50;44013  Alcañiz;5 a 9;..
Más de 50;44013  Alcañiz;10 a 19;1
Más de 50;44013  Alcañiz;20 a 29;..
Más de 50;44013  Alcañiz;30 a 39;..
Más de 50;44013  Alcañiz;40 o más;1
Más de 50;44014  Alcorisa;Total;..
Más de 50;44014  Alcorisa;1;..
Más de 50;44014  Alcorisa;2;..
Más de 50;44014  Alcorisa;3;..
Más de 50;44014  Alcorisa;4;..
Más de 50;44014  Alcorisa;5 a 9;..
Más de 50;44014  Alcorisa;10 a 19;..
Más de 50;44014  Alcorisa;20 a 29;..
Más de 50;44014  Alcorisa;30 a 39;..
Más de 50;44014  Alcorisa;40 o más;..
Más de 50;44025  Andorra;Total;..
Más de 50;44025  Andorra;1;..
Más de 50;44025  Andorra;2;..
Más de 50;44025  Andorra;3;..
Más de 50;44025  Andorra;4;..
Más de 50;44025  Andorra;5 a 9;..
Más de 50;44025  Andorra;10 a 19;..
Más de 50;44025  Andorra;20 a 29;..
Más de 50;44025  Andorra;30 a 39;..
Más de 50;44025  Andorra;40 o más;..
Más de 50;44050  Calamocha;Total;1
Más de 50;44050  Calamocha;1;..
Más de 50;44050  Calamocha;2;..
Más de 50;44050  Calamocha;3;..
Más de 50;44050  Calamocha;4;..
Más de 50;44050  Calamocha;5 a 9;..
Más de 50;44050  Calamocha;10 a 19;1
Más de 50;44050  Calamocha;20 a 29;..
Más de 50;44050  Calamocha;30 a 39;..
Más de 50;44050  Calamocha;40 o más;..
Más de 50;44051  Calanda;Total;..
Más de 50;44051  Calanda;1;..
Más de 50;44051  Calanda;2;..
Más de 50;44051  Calanda;3;..
Más de 50;44051  Calanda;4;..
Más de 50;44051  Calanda;5 a 9;..
Más de 50;44051  Calanda;10 a 19;..
Más de 50;44051  Calanda;20 a 29;..
Más de 50;44051  Calanda;30 a 39;..
Más de 50;44051  Calanda;40 o más;..
Más de 50;44076  Cella;Total;..
Más de 50;44076  Cella;1;..
Más de 50;44076  Cella;2;..
Más de 50;44076  Cella;3;..
Más de 50;44076  Cella;4;..
Más de 50;44076  Cella;5 a 9;..
Más de 50;44076  Cella;10 a 19;..
Más de 50;44076  Cella;20 a 29;..
Más de 50;44076  Cella;30 a 39;..
Más de 50;44076  Cella;40 o más;..
Más de 50;44153  Monreal del Campo;Total;..
Más de 50;44153  Monreal del Campo;1;..
Más de 50;44153  Monreal del Campo;2;..
Más de 50;44153  Monreal del Campo;3;..
Más de 50;44153  Monreal del Campo;4;..
Más de 50;44153  Monreal del Campo;5 a 9;..
Más de 50;44153  Monreal del Campo;10 a 19;..
Más de 50;44153  Monreal del Campo;20 a 29;..
Más de 50;44153  Monreal del Campo;30 a 39;..
Más de 50;44153  Monreal del Campo;40 o más;..
Más de 50;44216  Teruel;Total;37
Más de 50;44216  Teruel;1;..
Más de 50;44216  Teruel;2;..
Más de 50;44216  Teruel;3;..
Más de 50;44216  Teruel;4;..
Más de 50;44216  Teruel;5 a 9;..
Más de 50;44216  Teruel;10 a 19;2
Más de 50;44216  Teruel;20 a 29;9
Más de 50;44216  Teruel;30 a 39;10
Más de 50;44216  Teruel;40 o más;16
Más de 50;44238  Utrillas;Total;..
Más de 50;44238  Utrillas;1;..
Más de 50;44238  Utrillas;2;..
Más de 50;44238  Utrillas;3;..
Más de 50;44238  Utrillas;4;..
Más de 50;44238  Utrillas;5 a 9;..
Más de 50;44238  Utrillas;10 a 19;..
Más de 50;44238  Utrillas;20 a 29;..
Más de 50;44238  Utrillas;30 a 39;..
Más de 50;44238  Utrillas;40 o más;..
Más de 50;44246  Valderrobres;Total;..
Más de 50;44246  Valderrobres;1;..
Más de 50;44246  Valderrobres;2;..
Más de 50;44246  Valderrobres;3;..
Más de 50;44246  Valderrobres;4;..
Más de 50;44246  Valderrobres;5 a 9;..
Más de 50;44246  Valderrobres;10 a 19;..
Más de 50;44246  Valderrobres;20 a 29;..
Más de 50;44246  Valderrobres;30 a 39;..
Más de 50;44246  Valderrobres;40 o más;..
